metric,shared_mean,personal_mean,difference_personal_minus_shared,t_statistic,p_value,significant_p_lt_0_05
accuracy,0.983203125,0.9919921875,0.0087890625,-2.2972652198956585,0.02851708030784583,True
far,0.016532258064516112,0.007862903225806444,-0.008669354838709668,2.2207014881275544,0.03381264629329791,True
frr,0.025,0.0125,-0.0125,0.8121419014464817,0.4229031077518628,False
eer,0.02076612903225806,0.010181451612903222,-0.010584677419354836,1.32424943780981,0.1951014550554194,False
