depth,trees,class_weight,undersampling,threshold,accuracy_mean,FAR_mean,FRR_mean,accuracy_std,FAR_std,FRR_std
,300,balanced_subsample,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
,600,balanced,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
,600,balanced_subsample,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
10.0,100,balanced,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
10.0,100,balanced_subsample,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
10.0,300,balanced,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
10.0,300,balanced_subsample,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
10.0,600,balanced,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
10.0,600,balanced_subsample,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
20.0,100,balanced,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
20.0,100,balanced_subsample,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
20.0,300,balanced,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
20.0,300,balanced_subsample,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
20.0,600,balanced,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
20.0,600,balanced_subsample,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
30.0,100,balanced,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
30.0,100,balanced_subsample,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
30.0,300,balanced,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
30.0,300,balanced_subsample,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
30.0,600,balanced,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
30.0,600,balanced_subsample,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
,100,balanced,False,0.3,0.9888888888888889,0.0008333333333333333,0.21666666666666665,0.014285714285714297,0.0036324157862838947,0.2640496586292476
,100,balanced_subsample,False,0.3,0.9888888888888889,0.0008333333333333333,0.21666666666666665,0.014285714285714297,0.0036324157862838947,0.2640496586292476
10.0,100,balanced,False,0.3,0.9888888888888889,0.0008333333333333333,0.21666666666666665,0.014285714285714297,0.0036324157862838947,0.2640496586292476
10.0,100,balanced_subsample,False,0.3,0.9888888888888889,0.0008333333333333333,0.21666666666666665,0.014285714285714297,0.0036324157862838947,0.2640496586292476
20.0,100,balanced,False,0.3,0.9888888888888889,0.0008333333333333333,0.21666666666666665,0.014285714285714297,0.0036324157862838947,0.2640496586292476
20.0,100,balanced_subsample,False,0.3,0.9888888888888889,0.0008333333333333333,0.21666666666666665,0.014285714285714297,0.0036324157862838947,0.2640496586292476
30.0,100,balanced,False,0.3,0.9888888888888889,0.0008333333333333333,0.21666666666666665,0.014285714285714297,0.0036324157862838947,0.2640496586292476
30.0,100,balanced_subsample,False,0.3,0.9888888888888889,0.0008333333333333333,0.21666666666666665,0.014285714285714297,0.0036324157862838947,0.2640496586292476
,100,balanced_subsample,True,0.5,0.9888888888888889,0.0025,0.1833333333333333,0.015141892085983275,0.007949493345141214,0.24664414311581234
10.0,100,balanced_subsample,True,0.5,0.9888888888888889,0.0025,0.1833333333333333,0.015141892085983275,0.007949493345141214,0.24664414311581234
