depth,trees,class_weight,undersampling,EER_mean,FAR_mean,FRR_mean,EER_std
30.0,600,balanced,False,0.028833333333333332,0.03266666666666666,0.025,0.06822369252849206
10.0,600,balanced,False,0.028833333333333332,0.03266666666666666,0.025,0.06822369252849206
20.0,600,balanced,False,0.028833333333333332,0.03266666666666666,0.025,0.06822369252849206
,600,balanced,False,0.028833333333333332,0.03266666666666666,0.025,0.06822369252849206
20.0,300,balanced,False,0.030166666666666668,0.035333333333333335,0.025,0.07477540445300923
10.0,300,balanced,False,0.030166666666666668,0.035333333333333335,0.025,0.07477540445300923
,300,balanced,False,0.030166666666666668,0.035333333333333335,0.025,0.07477540445300923
30.0,300,balanced,False,0.030166666666666668,0.035333333333333335,0.025,0.07477540445300923
20.0,100,balanced_subsample,False,0.03308333333333333,0.028666666666666667,0.0375,0.08845946183924526
,100,balanced_subsample,False,0.03308333333333333,0.028666666666666667,0.0375,0.08845946183924526
10.0,100,balanced_subsample,False,0.03308333333333333,0.028666666666666667,0.0375,0.08845946183924526
30.0,100,balanced_subsample,False,0.03308333333333333,0.028666666666666667,0.0375,0.08845946183924526
20.0,100,balanced,False,0.033416666666666664,0.029333333333333333,0.0375,0.08486995771309316
30.0,100,balanced,False,0.033416666666666664,0.029333333333333333,0.0375,0.08486995771309316
10.0,100,balanced,False,0.033416666666666664,0.029333333333333333,0.0375,0.08486995771309316
,100,balanced,False,0.033416666666666664,0.029333333333333333,0.0375,0.08486995771309316
,300,balanced_subsample,False,0.036083333333333335,0.034666666666666665,0.0375,0.09497846978248396
30.0,300,balanced_subsample,False,0.036083333333333335,0.034666666666666665,0.0375,0.09497846978248396
10.0,300,balanced_subsample,False,0.036083333333333335,0.034666666666666665,0.0375,0.09497846978248396
20.0,300,balanced_subsample,False,0.036083333333333335,0.034666666666666665,0.0375,0.09497846978248396
,600,balanced_subsample,True,0.04008333333333334,0.042666666666666665,0.0375,0.08091400613545773
,600,balanced_subsample,False,0.041999999999999996,0.033999999999999996,0.05,0.09866976346491473
30.0,600,balanced_subsample,False,0.041999999999999996,0.033999999999999996,0.05,0.09866976346491473
10.0,600,balanced_subsample,False,0.041999999999999996,0.033999999999999996,0.05,0.09866976346491473
20.0,600,balanced_subsample,False,0.041999999999999996,0.033999999999999996,0.05,0.09866976346491473
10.0,600,balanced,True,0.04241666666666667,0.047333333333333324,0.0375,0.07424522992534043
,300,balanced,True,0.04441666666666667,0.05133333333333333,0.0375,0.08740594150920812
30.0,600,balanced_subsample,True,0.04541666666666667,0.05333333333333333,0.0375,0.07809516096831266
10.0,300,balanced_subsample,True,0.051000000000000004,0.052000000000000005,0.05,0.08913535275697916
30.0,300,,True,0.05233333333333336,0.05466666666666666,0.05,0.08028144935856048
30.0,600,,False,0.052666666666666674,0.05533333333333333,0.05,0.08192883090422647
20.0,600,,False,0.052666666666666674,0.05533333333333333,0.05,0.08192883090422647
,600,,False,0.052666666666666674,0.05533333333333333,0.05,0.08192883090422647
10.0,600,,False,0.052666666666666674,0.05533333333333333,0.05,0.08192883090422647
,100,balanced,True,0.053333333333333344,0.056666666666666664,0.05,0.09136921436311761
20.0,100,balanced_subsample,True,0.054333333333333324,0.05866666666666668,0.05,0.09532750564938397
30.0,300,balanced_subsample,True,0.054333333333333345,0.058666666666666666,0.05,0.0946490593954554
10.0,100,,True,0.05466666666666666,0.059333333333333335,0.05,0.09563907848433784
30.0,100,,False,0.05533333333333333,0.06066666666666666,0.05,0.08171019248267351
20.0,300,,False,0.05533333333333333,0.06066666666666667,0.05,0.08447155997401992
30.0,300,,False,0.05533333333333333,0.06066666666666667,0.05,0.08447155997401992
,100,,False,0.05533333333333333,0.06066666666666666,0.05,0.08171019248267351
20.0,100,,False,0.05533333333333333,0.06066666666666666,0.05,0.08171019248267351
,300,,False,0.05533333333333333,0.06066666666666667,0.05,0.08447155997401992
10.0,100,,False,0.05533333333333333,0.06066666666666666,0.05,0.08171019248267351
10.0,300,,False,0.05533333333333333,0.06066666666666667,0.05,0.08447155997401992
10.0,300,,True,0.055666666666666656,0.06133333333333333,0.05,0.08429841174199086
20.0,300,balanced,True,0.05691666666666667,0.05133333333333333,0.0625,0.09157309618247296
10.0,100,balanced_subsample,True,0.05825,0.054000000000000006,0.0625,0.09403231566269592
,300,balanced_subsample,True,0.059250000000000004,0.05600000000000001,0.0625,0.09652356505595468
30.0,600,balanced,True,0.06,0.06999999999999999,0.05,0.12231448537819765
30.0,300,balanced,True,0.06091666666666666,0.05933333333333335,0.0625,0.09607213002045216
30.0,100,balanced,True,0.06124999999999999,0.06000000000000001,0.0625,0.09708082972451358
20.0,100,balanced,True,0.061250000000000006,0.06,0.0625,0.09519698145307853
30.0,100,balanced_subsample,True,0.06291666666666666,0.06333333333333334,0.0625,0.11438831889664258
10.0,300,balanced,True,0.06425,0.066,0.0625,0.10231416079898227
20.0,300,balanced_subsample,True,0.06525,0.06799999999999999,0.0625,0.11746426761644015
10.0,600,balanced_subsample,True,0.0665,0.05800000000000001,0.075,0.09995957516249589
,100,,True,0.06758333333333334,0.07266666666666667,0.0625,0.0973360088102605
,600,balanced,True,0.06783333333333333,0.06066666666666667,0.075,0.10211390698626706
10.0,100,balanced,True,0.0685,0.062,0.075,0.10068501488415356
20.0,300,,True,0.06858333333333333,0.07466666666666666,0.0625,0.09454169421183674
20.0,600,balanced,True,0.06916666666666667,0.06333333333333334,0.075,0.1014293678707832
20.0,600,balanced_subsample,True,0.0695,0.064,0.075,0.09578056518243494
,600,,True,0.0715,0.06799999999999999,0.075,0.09580492332512631
20.0,100,,True,0.07249999999999998,0.07,0.075,0.09338168390476202
,300,,True,0.07416666666666667,0.07333333333333335,0.075,0.09530142239815265
30.0,600,,True,0.07683333333333334,0.07866666666666668,0.075,0.10386275666581464
30.0,100,,True,0.07716666666666666,0.07933333333333334,0.075,0.10054034568824154
,100,balanced_subsample,True,0.07875,0.06999999999999999,0.0875,0.12115976023416355
20.0,600,,True,0.08249999999999999,0.09,0.075,0.10488154694172319
10.0,600,,True,0.08675,0.08600000000000001,0.0875,0.11046300914282975
