user_id,text_length,threshold,accuracy,far,frr,eer
my57RUXuMdcCABGumWAajjhxjgi2,20,0.165,0.99375,0.0,0.2,0.1
pBcgsSbey6YdBbQGH0nEAMUjA9H2,20,0.105,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
qHMPVSZeEOVJeANy4PmaCi0s1LX2,20,0.07,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
ruaVJyjTBAXieStKhxpnd1GTACE2,20,0.23500000000000001,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,20,0.125,0.9875,0.0064516129032258064,0.2,0.1032258064516129
wL7w4dmBmxSYXUEO9tYBUp6XaA22,20,0.125,1.0,0.0,0.0,0.0
zADTuV7nEORpOPqPqjLYGgZyVUD3,20,0.045,0.9625,0.03870967741935484,0.0,0.01935483870967742
zisvLwXR2sXkiDyF9hQBgzCT5K03,20,0.16,1.0,0.0,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,20,0.195,1.0,0.0,0.0,0.0
05TW8Ljp5AOArnLclD8e8LIHgwg2,25,0.05,0.9125,0.09032258064516129,0.0,0.04516129032258064
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,25,0.085,0.9625,0.03870967741935484,0.0,0.01935483870967742
30m2mK6UrdfP8ENgCSldqeHYwjq2,25,0.14,1.0,0.0,0.0,0.0
8g1C9fonDzXAwNoVbGG4vJ7XO1F3,25,0.185,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
8gGAdMn0cGO8J5wVY9lyHNfcrzF3,25,0.17,1.0,0.0,0.0,0.0
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,25,0.15,1.0,0.0,0.0,0.0
A2SsgxEqJLY9Avf3vCgly0OIQux1,25,0.095,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
BnAXORhlmEgFSnmr5BPzEaj813f2,25,0.17500000000000002,1.0,0.0,0.0,0.0
BqbYZxLSPiNGAJGElBH6dq0Gf422,25,0.065,0.9375,0.06451612903225806,0.0,0.03225806451612903
DJldbpv8XEYPwLseK8tAlA0EFfV2,25,0.135,1.0,0.0,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,25,0.225,1.0,0.0,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,25,0.195,1.0,0.0,0.0,0.0
Omo5XrILUTX0J0Jih47KSik6Yi43,25,0.08,0.9875,0.012903225806451613,0.0,0.0064516129032258064
PoPWokLWSNV1fAVoEx4sJEERdqL2,25,0.145,1.0,0.0,0.0,0.0
PzRGdxGusYScYl0zOpFXECA49Tq1,25,0.035,0.9375,0.06451612903225806,0.0,0.03225806451612903
QcUKYLclszMKbeOKMPTEIZyiKKU2,25,0.105,0.9875,0.012903225806451613,0.0,0.0064516129032258064
RKcUBPWd7Lgr4wrIof2rJxDyitr1,25,0.135,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,25,0.07,0.9625,0.03870967741935484,0.0,0.01935483870967742
WLA5tSeimOdSy4qCfthdd7C5WeB2,25,0.1,0.9875,0.012903225806451613,0.0,0.0064516129032258064
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,25,0.115,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
ZPw87WT2yagXd9QO1D3a7uqutlJ3,25,0.19,0.99375,0.0,0.2,0.1
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,25,0.265,1.0,0.0,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,25,0.065,0.9625,0.03870967741935484,0.0,0.01935483870967742
my57RUXuMdcCABGumWAajjhxjgi2,25,0.135,1.0,0.0,0.0,0.0
pBcgsSbey6YdBbQGH0nEAMUjA9H2,25,0.135,1.0,0.0,0.0,0.0
qHMPVSZeEOVJeANy4PmaCi0s1LX2,25,0.085,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
ruaVJyjTBAXieStKhxpnd1GTACE2,25,0.245,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
t10BGl5P7lfLJnosyzeNchO2Cgw1,25,0.12,0.99375,0.0,0.2,0.1
wL7w4dmBmxSYXUEO9tYBUp6XaA22,25,0.125,1.0,0.0,0.0,0.0
zADTuV7nEORpOPqPqjLYGgZyVUD3,25,0.075,0.96875,0.03225806451612903,0.0,0.016129032258064516
zisvLwXR2sXkiDyF9hQBgzCT5K03,25,0.195,1.0,0.0,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,25,0.12,1.0,0.0,0.0,0.0
05TW8Ljp5AOArnLclD8e8LIHgwg2,50,0.06,0.94375,0.05806451612903226,0.0,0.02903225806451613
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,50,0.125,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
30m2mK6UrdfP8ENgCSldqeHYwjq2,50,0.04,0.93125,0.07096774193548387,0.0,0.035483870967741936
8g1C9fonDzXAwNoVbGG4vJ7XO1F3,50,0.2,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
8gGAdMn0cGO8J5wVY9lyHNfcrzF3,50,0.225,1.0,0.0,0.0,0.0
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,50,0.12,1.0,0.0,0.0,0.0
A2SsgxEqJLY9Avf3vCgly0OIQux1,50,0.135,1.0,0.0,0.0,0.0
BnAXORhlmEgFSnmr5BPzEaj813f2,50,0.145,1.0,0.0,0.0,0.0
BqbYZxLSPiNGAJGElBH6dq0Gf422,50,0.17500000000000002,0.98125,0.01935483870967742,0.0,0.00967741935483871
DJldbpv8XEYPwLseK8tAlA0EFfV2,50,0.085,0.9875,0.012903225806451613,0.0,0.0064516129032258064
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,50,0.105,0.96875,0.03225806451612903,0.0,0.016129032258064516
LaWWukYn6xeN1jsWRIBI8QB2PvV2,50,0.13,0.9875,0.012903225806451613,0.0,0.0064516129032258064
Omo5XrILUTX0J0Jih47KSik6Yi43,50,0.095,1.0,0.0,0.0,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,50,0.135,1.0,0.0,0.0,0.0
PzRGdxGusYScYl0zOpFXECA49Tq1,50,0.03,0.9625,0.03870967741935484,0.0,0.01935483870967742
QcUKYLclszMKbeOKMPTEIZyiKKU2,50,0.065,0.9375,0.06451612903225806,0.0,0.03225806451612903
RKcUBPWd7Lgr4wrIof2rJxDyitr1,50,0.15,0.9875,0.0,0.4,0.2
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,50,0.105,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
WLA5tSeimOdSy4qCfthdd7C5WeB2,50,0.055,0.95,0.05161290322580645,0.0,0.025806451612903226
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,50,0.14,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
ZPw87WT2yagXd9QO1D3a7uqutlJ3,50,0.145,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,50,0.26,1.0,0.0,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,50,0.135,0.99375,0.0,0.2,0.1
my57RUXuMdcCABGumWAajjhxjgi2,50,0.14,0.9875,0.012903225806451613,0.0,0.0064516129032258064
pBcgsSbey6YdBbQGH0nEAMUjA9H2,50,0.12,1.0,0.0,0.0,0.0
qHMPVSZeEOVJeANy4PmaCi0s1LX2,50,0.06,0.9625,0.03870967741935484,0.0,0.01935483870967742
ruaVJyjTBAXieStKhxpnd1GTACE2,50,0.215,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
t10BGl5P7lfLJnosyzeNchO2Cgw1,50,0.17,1.0,0.0,0.0,0.0
wL7w4dmBmxSYXUEO9tYBUp6XaA22,50,0.06,0.975,0.025806451612903226,0.0,0.012903225806451613
zADTuV7nEORpOPqPqjLYGgZyVUD3,50,0.07,0.9625,0.03870967741935484,0.0,0.01935483870967742
zisvLwXR2sXkiDyF9hQBgzCT5K03,50,0.16,1.0,0.0,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,50,0.195,1.0,0.0,0.0,0.0
05TW8Ljp5AOArnLclD8e8LIHgwg2,75,0.06,0.90625,0.0967741935483871,0.0,0.04838709677419355
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,75,0.085,0.9875,0.012903225806451613,0.0,0.0064516129032258064
30m2mK6UrdfP8ENgCSldqeHYwjq2,75,0.05,0.9375,0.06451612903225806,0.0,0.03225806451612903
8g1C9fonDzXAwNoVbGG4vJ7XO1F3,75,0.145,0.9875,0.012903225806451613,0.0,0.0064516129032258064
8gGAdMn0cGO8J5wVY9lyHNfcrzF3,75,0.245,1.0,0.0,0.0,0.0
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,75,0.13,1.0,0.0,0.0,0.0
