Model,Acc_avg,Acc_std,FAR_avg,FAR_std,FRR_avg,FRR_std,EER_avg,EER_std
RandomForest,0.9921875,0.019700376613396943,0.007661290322580646,0.020430563917716634,0.0125,0.04918693768379647,0.0010080645161290322,0.0051454948205271345
SVM,0.98828125,0.0262178182146319,0.01189516129032258,0.02713091229452983,0.00625,0.035355339059327376,0.0014112903225806453,0.005790097213287291
XGBoost,0.9814453125,0.021794747663270737,0.017943548387096775,0.022984897835651205,0.0375,0.10701220913160239,0.006149193548387097,0.024503520704944947
