model,avg_accuracy,std_accuracy,avg_far,std_far,avg_frr,std_frr,avg_eer,std_eer
RandomForest,0.9921875,0.019700376613396943,0.007661290322580646,0.020430563917716634,0.0125,0.04918693768379647,0.010080645161290324,0.025685852442071593
SVM,0.98828125,0.0262178182146319,0.01189516129032258,0.02713091229452983,0.00625,0.035355339059327376,0.009072580645161291,0.021404441418781964
XGBoost,0.9814453125,0.021794747663270737,0.017943548387096775,0.022984897835651205,0.0375,0.10701220913160239,0.027721774193548387,0.052258317434929646
