Model,Acc_avg,Acc_std,FAR_avg,FAR_std,FRR_avg,FRR_std,EER_avg,EER_std
RandomForest,0.981640625,0.023381990717630405,0.018145161290322582,0.02421954898394685,0.025,0.06720215050322471,0.009173387096774194,0.03742320636642523
SVM,0.9623046875000001,0.046971926000082834,0.038104838709677416,0.048511373529859465,0.025,0.0842423539174232,0.01028225806451613,0.03078245710905548
XGBoost,0.974609375,0.026370570832812606,0.024596774193548387,0.026948581436170366,0.05,0.08798826901281198,0.014818548387096776,0.03539255466975352
