Dataset,train_size,avg_accuracy,std_accuracy,avg_far,std_far,avg_frr,std_frr,avg_eer,std_eer,n_users
general,3,0.9322916666666667,0.08100104885045964,0.06476814516129033,0.08565859368039302,0.15885416666666669,0.19670149021926672,0.1118111559139785,0.09226562443759116,32
general,5,0.9580078125,0.049505731762277266,0.04163306451612904,0.05174514390186509,0.053125000000000006,0.11635422833577172,0.047379032258064516,0.05858930095531218,32
general,8,0.9718191964285714,0.04093843518548484,0.027649769585253454,0.04246218730454154,0.04464285714285714,0.092065036976991,0.0361463133640553,0.0486621666744382,32
general,10,0.983203125,0.022753804848434596,0.01653225806451613,0.023687032161046177,0.025,0.06720215050322471,0.020766129032258066,0.034059359138859574,32
general,12,0.986328125,0.024456099003108012,0.01310483870967742,0.02499211979385575,0.03125,0.09871486036009967,0.022177419354838707,0.05110948704977747,32
personal,3,0.94873046875,0.07959371430237952,0.04813508064516129,0.08331895240005319,0.1484375,0.16898173720541687,0.09828629032258066,0.0846121857531627,32
personal,5,0.97939453125,0.0265385847630351,0.020866935483870967,0.027432932611772504,0.0125,0.03360107525161236,0.016683467741935486,0.021095859984424137,32
personal,8,0.9910714285714286,0.011784143171358747,0.008496543778801845,0.012448691897861876,0.02232142857142857,0.052700290375496214,0.015408986175115207,0.025620744856712774,32
personal,10,0.9919921875,0.012919802938269203,0.007862903225806451,0.013184690283424423,0.0125,0.04918693768379647,0.010181451612903226,0.025690548453002164,32
personal,12,0.9964192708333334,0.007298563846277561,0.003360215053763441,0.00744842916111426,0.010416666666666666,0.05892556509887895,0.006888440860215053,0.029391489541456182,32
