user_id,train_size,threshold,accuracy,far,frr,eer
ruaVJyjTBAXieStKhxpnd1GTACE2,5,0.305,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,5,0.13,0.9807692307692307,0.008,0.3,0.022
wL7w4dmBmxSYXUEO9tYBUp6XaA22,5,0.155,0.9653846153846154,0.036,0.0,0.016
zADTuV7nEORpOPqPqjLYGgZyVUD3,5,0.19,0.9807692307692307,0.02,0.0,0.01
zisvLwXR2sXkiDyF9hQBgzCT5K03,5,0.155,0.9923076923076923,0.008,0.0,0.004
zwWo0D9MehY88RXRA0BYoGdJKCz2,5,0.165,0.9807692307692307,0.016,0.1,0.018
05TW8Ljp5AOArnLclD8e8LIHgwg2,8,0.045,0.8901098901098901,0.11428571428571428,0.0,0.037142857142857144
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,8,0.085,0.9230769230769231,0.07428571428571429,0.14285714285714285,0.14
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,8,0.12,0.9945054945054945,0.0,0.14285714285714285,0.0
BnAXORhlmEgFSnmr5BPzEaj813f2,8,0.11,0.989010989010989,0.011428571428571429,0.0,0.0
BqbYZxLSPiNGAJGElBH6dq0Gf422,8,0.155,0.9945054945054945,0.0,0.14285714285714285,0.008571428571428572
DJldbpv8XEYPwLseK8tAlA0EFfV2,8,0.115,0.989010989010989,0.011428571428571429,0.0,0.002857142857142857
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,8,0.20500000000000002,0.9945054945054945,0.005714285714285714,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,8,0.155,1.0,0.0,0.0,0.0
Omo5XrILUTX0J0Jih47KSik6Yi43,8,0.26,1.0,0.0,0.0,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,8,0.135,0.978021978021978,0.022857142857142857,0.0,0.0
PzRGdxGusYScYl0zOpFXECA49Tq1,8,0.165,0.9945054945054945,0.005714285714285714,0.0,0.0
QcUKYLclszMKbeOKMPTEIZyiKKU2,8,0.085,0.9340659340659341,0.06857142857142857,0.0,0.0
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,8,0.20500000000000002,1.0,0.0,0.0,0.0
WLA5tSeimOdSy4qCfthdd7C5WeB2,8,0.17500000000000002,0.9835164835164835,0.011428571428571429,0.14285714285714285,0.02
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,8,0.32,0.9945054945054945,0.0,0.14285714285714285,0.011428571428571429
ZPw87WT2yagXd9QO1D3a7uqutlJ3,8,0.165,1.0,0.0,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,8,0.09,0.9945054945054945,0.005714285714285714,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,8,0.085,0.9725274725274725,0.02857142857142857,0.0,0.002857142857142857
pBcgsSbey6YdBbQGH0nEAMUjA9H2,8,0.17,0.9945054945054945,0.005714285714285714,0.0,0.0
qHMPVSZeEOVJeANy4PmaCi0s1LX2,8,0.13,0.9835164835164835,0.005714285714285714,0.2857142857142857,0.022857142857142857
ruaVJyjTBAXieStKhxpnd1GTACE2,8,0.375,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,8,0.11,0.978021978021978,0.022857142857142857,0.0,0.0
wL7w4dmBmxSYXUEO9tYBUp6XaA22,8,0.26,0.967032967032967,0.017142857142857144,0.42857142857142855,0.02857142857142857
zADTuV7nEORpOPqPqjLYGgZyVUD3,8,0.28500000000000003,1.0,0.0,0.0,0.0
zisvLwXR2sXkiDyF9hQBgzCT5K03,8,0.16,1.0,0.0,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,8,0.1,0.989010989010989,0.011428571428571429,0.0,0.0
05TW8Ljp5AOArnLclD8e8LIHgwg2,10,0.05,0.9230769230769231,0.072,0.2,0.14800000000000002
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,10,0.07,0.8692307692307693,0.128,0.2,0.20400000000000001
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,10,0.12,1.0,0.0,0.0,0.0
BnAXORhlmEgFSnmr5BPzEaj813f2,10,0.115,0.9846153846153847,0.016,0.0,0.0
BqbYZxLSPiNGAJGElBH6dq0Gf422,10,0.215,0.9923076923076923,0.0,0.2,0.0
DJldbpv8XEYPwLseK8tAlA0EFfV2,10,0.2,0.9923076923076923,0.008,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,10,0.20500000000000002,1.0,0.0,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,10,0.20500000000000002,1.0,0.0,0.0,0.0
Omo5XrILUTX0J0Jih47KSik6Yi43,10,0.225,1.0,0.0,0.0,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,10,0.12,0.9769230769230769,0.024,0.0,0.0
PzRGdxGusYScYl0zOpFXECA49Tq1,10,0.38,1.0,0.0,0.0,0.0
QcUKYLclszMKbeOKMPTEIZyiKKU2,10,0.095,0.9461538461538461,0.056,0.0,0.0
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,10,0.12,0.9846153846153847,0.016,0.0,0.0
WLA5tSeimOdSy4qCfthdd7C5WeB2,10,0.185,0.9923076923076923,0.0,0.2,0.004
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,10,0.28500000000000003,0.9846153846153847,0.008,0.2,0.02
ZPw87WT2yagXd9QO1D3a7uqutlJ3,10,0.13,0.9923076923076923,0.008,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,10,0.07,0.9846153846153847,0.016,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,10,0.05,0.8923076923076924,0.112,0.0,0.004
pBcgsSbey6YdBbQGH0nEAMUjA9H2,10,0.155,0.9846153846153847,0.016,0.0,0.0
qHMPVSZeEOVJeANy4PmaCi0s1LX2,10,0.12,0.9846153846153847,0.008,0.2,0.004
ruaVJyjTBAXieStKhxpnd1GTACE2,10,0.34500000000000003,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,10,0.17,1.0,0.0,0.0,0.0
wL7w4dmBmxSYXUEO9tYBUp6XaA22,10,0.185,0.9923076923076923,0.008,0.0,0.0
zADTuV7nEORpOPqPqjLYGgZyVUD3,10,0.305,1.0,0.0,0.0,0.0
zisvLwXR2sXkiDyF9hQBgzCT5K03,10,0.155,1.0,0.0,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,10,0.095,0.9923076923076923,0.008,0.0,0.0
