feature_group,n_features,avg_accuracy,std_accuracy,avg_far,std_far,avg_frr,std_frr,avg_eer,std_eer
keystroke_only,80,0.9390532544378696,0.0594221912574507,0.062461538461538464,0.06134572895922308,0.02307692307692308,0.06516251872168423,0.03661538461538462,0.06854550425699818
sensor_only,46,0.9647928994082839,0.0376324848293169,0.03446153846153847,0.037847304547859964,0.05384615384615385,0.09046886417224095,0.019846153846153847,0.0487341295666126
combined,154,0.9819526627218935,0.026641810597559788,0.01723076923076923,0.026260704776997424,0.038461538461538464,0.08038369524685005,0.01076923076923077,0.03981990225232372
