user_id,feature_group,n_features,threshold,accuracy,far,frr,eer
ZPw87WT2yagXd9QO1D3a7uqutlJ3,sensor_only,46,0.025,0.9,0.096,0.2,0.192
ZPw87WT2yagXd9QO1D3a7uqutlJ3,combined,154,0.045,0.9923076923076923,0.008,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,keystroke_only,80,0.01,0.8153846153846154,0.184,0.2,0.192
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,sensor_only,46,0.015,0.9538461538461539,0.048,0.0,0.012
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,combined,154,0.01,0.9923076923076923,0.008,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,keystroke_only,80,0.015,0.9076923076923077,0.096,0.0,0.012
i6SCvQJiqYUDYS1leBqlxRY29jr2,sensor_only,46,0.025,0.9538461538461539,0.048,0.0,0.008
i6SCvQJiqYUDYS1leBqlxRY29jr2,combined,154,0.02,0.9615384615384616,0.04,0.0,0.008
pBcgsSbey6YdBbQGH0nEAMUjA9H2,keystroke_only,80,0.065,0.9923076923076923,0.008,0.0,0.0
pBcgsSbey6YdBbQGH0nEAMUjA9H2,sensor_only,46,0.155,0.9923076923076923,0.008,0.0,0.004
pBcgsSbey6YdBbQGH0nEAMUjA9H2,combined,154,0.185,0.9923076923076923,0.008,0.0,0.0
qHMPVSZeEOVJeANy4PmaCi0s1LX2,keystroke_only,80,0.02,0.9692307692307692,0.024,0.2,0.14400000000000002
qHMPVSZeEOVJeANy4PmaCi0s1LX2,sensor_only,46,0.02,0.9461538461538461,0.056,0.0,0.024
qHMPVSZeEOVJeANy4PmaCi0s1LX2,combined,154,0.04,0.9615384615384616,0.032,0.2,0.14400000000000002
ruaVJyjTBAXieStKhxpnd1GTACE2,keystroke_only,80,0.035,1.0,0.0,0.0,0.0
ruaVJyjTBAXieStKhxpnd1GTACE2,sensor_only,46,0.055,1.0,0.0,0.0,0.0
ruaVJyjTBAXieStKhxpnd1GTACE2,combined,154,0.025,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,keystroke_only,80,0.01,0.8692307692307693,0.136,0.0,0.056
t10BGl5P7lfLJnosyzeNchO2Cgw1,sensor_only,46,0.025,0.9538461538461539,0.048,0.0,0.004
t10BGl5P7lfLJnosyzeNchO2Cgw1,combined,154,0.015,0.9230769230769231,0.08,0.0,0.0
wL7w4dmBmxSYXUEO9tYBUp6XaA22,keystroke_only,80,0.04,0.9461538461538461,0.04,0.4,0.14
wL7w4dmBmxSYXUEO9tYBUp6XaA22,sensor_only,46,0.14,1.0,0.0,0.0,0.0
wL7w4dmBmxSYXUEO9tYBUp6XaA22,combined,154,0.16,1.0,0.0,0.0,0.0
zADTuV7nEORpOPqPqjLYGgZyVUD3,keystroke_only,80,0.03,0.9538461538461539,0.048,0.0,0.02
zADTuV7nEORpOPqPqjLYGgZyVUD3,sensor_only,46,0.025,0.9230769230769231,0.08,0.0,0.004
zADTuV7nEORpOPqPqjLYGgZyVUD3,combined,154,0.09,0.9923076923076923,0.008,0.0,0.004
zisvLwXR2sXkiDyF9hQBgzCT5K03,keystroke_only,80,0.025,0.9615384615384616,0.04,0.0,0.012
zisvLwXR2sXkiDyF9hQBgzCT5K03,sensor_only,46,0.02,0.9846153846153847,0.016,0.0,0.0
zisvLwXR2sXkiDyF9hQBgzCT5K03,combined,154,0.145,1.0,0.0,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,keystroke_only,80,0.03,0.9076923076923077,0.08,0.4,0.184
zwWo0D9MehY88RXRA0BYoGdJKCz2,sensor_only,46,0.015,0.9384615384615385,0.064,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,combined,154,0.015,0.9461538461538461,0.056,0.0,0.0
