rank,feature,mean_importance,std_importance
1,gyro_fs_hz,0.041327165908365424,0.04846341523144567
2,acc_axis_corr_yz,0.04036549134531621,0.041565463793474734
3,gyro_axis_corr_xz,0.03933475402435563,0.038768860573866804
4,acc_fs_hz,0.0367994866094924,0.04009240797089313
5,gyro_axis_corr_yz,0.03464758666014621,0.040742478551001646
6,acc_planarity,0.03387191369402283,0.04259701268720124
7,gyro_axis_corr_xy,0.03200408928202156,0.03691858434027431
8,acc_n_samples,0.031597885154673155,0.04344834798924943
9,acc_jerk_std,0.03122423935797086,0.03451545509683309
10,acc_mag_median,0.03116131560901937,0.036412689246274575
11,gyro_mag_median,0.02756108599056967,0.026570625439863032
12,gyro_cv,0.02695344803367157,0.033648922107059616
13,gyro_duration_sec,0.02631241199353162,0.033929066643491886
14,gyro_n_samples,0.025473958894463314,0.034509978809334985
15,acc_rms,0.024637185303434426,0.02382101275861095
16,acc_mag_iqr,0.02456165531825553,0.019985352738024573
17,gyro_mag_mad,0.02377220088459523,0.02244112632370008
18,gyro_rms,0.02372593156325615,0.027138241655020937
19,gyro_mag_p99,0.02352325583557701,0.03017061854931306
20,gyro_mag_mean,0.02349510172461548,0.025023412682777597
21,gyro_planarity,0.022747812338198916,0.029816041221906377
22,gyro_mag_std,0.02256373166741873,0.02908438826141591
23,gyro_mag_iqr,0.02223204566587513,0.01927690878451599
24,acc_axis_corr_xz,0.022030903911324465,0.02901708303178297
25,acc_mag_mean,0.02167105562256979,0.019616420424582413
26,acc_mag_p95,0.021492252947321298,0.017896322917215986
27,gyro_jerk_std,0.020367377996040013,0.02362919733184933
28,acc_energy,0.020148263680378205,0.01766466985622124
29,acc_duration_sec,0.02005721921294931,0.02543734957514719
30,gyro_dt_mean,0.019500182122345888,0.028868580819506558
31,gyro_mag_p95,0.01930545382011141,0.02248724943642096
32,acc_mag_std,0.019199869216507216,0.021639918618675178
33,acc_axis_corr_xy,0.018698991777875294,0.02858670476110775
34,acc_mag_mad,0.01787874220019236,0.01670200797193155
35,gyro_energy,0.016712903092083328,0.01837163632110175
36,acc_mag_spectral_entropy,0.015284565197850326,0.02575625599124522
37,acc_mag_p99,0.014990343812018532,0.0161230917559437
38,acc_dt_mean,0.014496348684427996,0.020944903166723913
39,acc_cv,0.014380388520249612,0.024008770159807218
40,gyro_mag_spectral_entropy,0.008829279503301467,0.010425856252158201
41,acc_mag_trend_slope,0.00483465714338599,0.009551110515637397
42,gyro_mag_trend_slope,0.004753369712722778,0.004979852046903658
43,gyro_dt_std,0.004645243739303131,0.006461204369303533
44,acc_dt_std,0.004623322069575774,0.008588930507055885
45,acc_cov,0.003556085793278684,0.005943770462793004
46,gyro_cov,0.0026494273653407357,0.0044157220849216075
