user_id,feature_group,n_features,threshold,accuracy,far,frr,eer
ZPw87WT2yagXd9QO1D3a7uqutlJ3,sensor_only,46,0.075,0.9153846153846154,0.08,0.2,0.188
ZPw87WT2yagXd9QO1D3a7uqutlJ3,combined,154,0.13,1.0,0.0,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,keystroke_only,80,0.06,0.8769230769230769,0.128,0.0,0.16
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,sensor_only,46,0.07,0.9692307692307692,0.032,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,combined,154,0.07,0.9846153846153847,0.016,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,keystroke_only,80,0.045,0.8153846153846154,0.192,0.0,0.008
i6SCvQJiqYUDYS1leBqlxRY29jr2,sensor_only,46,0.05,0.9230769230769231,0.08,0.0,0.004
i6SCvQJiqYUDYS1leBqlxRY29jr2,combined,154,0.065,0.9538461538461539,0.048,0.0,0.004
pBcgsSbey6YdBbQGH0nEAMUjA9H2,keystroke_only,80,0.115,0.9538461538461539,0.048,0.0,0.008
pBcgsSbey6YdBbQGH0nEAMUjA9H2,sensor_only,46,0.20500000000000002,0.9769230769230769,0.016,0.2,0.008
pBcgsSbey6YdBbQGH0nEAMUjA9H2,combined,154,0.215,0.9923076923076923,0.008,0.0,0.0
qHMPVSZeEOVJeANy4PmaCi0s1LX2,keystroke_only,80,0.07,0.9461538461538461,0.048,0.2,0.20400000000000001
qHMPVSZeEOVJeANy4PmaCi0s1LX2,sensor_only,46,0.05,0.9230769230769231,0.08,0.0,0.008
qHMPVSZeEOVJeANy4PmaCi0s1LX2,combined,154,0.085,0.9769230769230769,0.024,0.0,0.008
ruaVJyjTBAXieStKhxpnd1GTACE2,keystroke_only,80,0.31,1.0,0.0,0.0,0.0
ruaVJyjTBAXieStKhxpnd1GTACE2,sensor_only,46,0.34500000000000003,1.0,0.0,0.0,0.0
ruaVJyjTBAXieStKhxpnd1GTACE2,combined,154,0.34,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,keystroke_only,80,0.095,0.9461538461538461,0.056,0.0,0.012
t10BGl5P7lfLJnosyzeNchO2Cgw1,sensor_only,46,0.115,0.9846153846153847,0.016,0.0,0.004
t10BGl5P7lfLJnosyzeNchO2Cgw1,combined,154,0.17500000000000002,1.0,0.0,0.0,0.0
