dataset,feature_group,n_features,avg_accuracy,std_accuracy,avg_far,std_far,avg_frr,std_frr,avg_eer,std_eer
general,keystroke_only,80,0.9339843750000001,0.0501494113391303,0.06653225806451613,0.05162428334477554,0.05,0.08798826901281198,0.040322580645161296,0.06804599518198558
general,sensor_only,46,0.967578125,0.03391601567035274,0.031653225806451614,0.03477619453719077,0.05625000000000001,0.11622419935679933,0.02590725806451613,0.05504023920055586
general,combined,154,0.98125,0.02397074830274492,0.01834677419354839,0.024090136255979555,0.03125,0.0737804065256947,0.012399193548387097,0.04105870729657596
personal,keystroke_only,80,0.9830078125,0.02274255322778312,0.015725806451612902,0.023229130297484163,0.05625000000000001,0.11622419935679933,0.007358870967741936,0.027570244979762164
personal,sensor_only,46,0.978125,0.027358506962658014,0.02116935483870968,0.02858292002418917,0.043750000000000004,0.15013434843714202,0.0039314516129032254,0.009788964328824371
personal,combined,154,0.989453125,0.024098540771978504,0.010483870967741934,0.0248927746532044,0.0125,0.04918693768379647,0.001310483870967742,0.0057855662655605196
