feature_group,n_features,avg_accuracy,std_accuracy,avg_far,std_far,avg_frr,std_frr,avg_eer,std_eer
keystroke_only,80,0.8952662721893491,0.06527418450271372,0.10584615384615385,0.0678561374130254,0.07692307692307693,0.09922778767136678,0.08138461538461539,0.08040650566867183
sensor_only,46,0.9757396449704143,0.021614405419080846,0.022461538461538463,0.02318832597533642,0.06923076923076922,0.13789628209413268,0.02230769230769231,0.05980419331837475
combined,154,0.9715976331360946,0.03645661964674406,0.02830769230769231,0.037878510246068794,0.03076923076923077,0.09281909617845142,0.015692307692307693,0.04566203607441896
