user_id,feature_group,n_features,threshold,accuracy,far,frr,eer
05TW8Ljp5AOArnLclD8e8LIHgwg2,keystroke_only,80,0.025,0.8923076923076924,0.112,0.0,0.048
05TW8Ljp5AOArnLclD8e8LIHgwg2,sensor_only,46,0.13,0.9692307692307692,0.024,0.2,0.032
05TW8Ljp5AOArnLclD8e8LIHgwg2,combined,154,0.02,0.9153846153846154,0.088,0.0,0.028
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,keystroke_only,80,0.03,0.7230769230769231,0.28,0.2,0.192
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,sensor_only,46,0.055,0.9307692307692308,0.072,0.0,0.032
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,combined,154,0.035,0.8461538461538461,0.16,0.0,0.012
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,keystroke_only,80,0.075,0.9615384615384616,0.032,0.2,0.184
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,sensor_only,46,0.04,0.9846153846153847,0.016,0.0,0.0
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,combined,154,0.035,0.9769230769230769,0.024,0.0,0.0
BnAXORhlmEgFSnmr5BPzEaj813f2,keystroke_only,80,0.055,0.9384615384615385,0.064,0.0,0.016
BnAXORhlmEgFSnmr5BPzEaj813f2,sensor_only,46,0.14,1.0,0.0,0.0,0.0
BnAXORhlmEgFSnmr5BPzEaj813f2,combined,154,0.065,1.0,0.0,0.0,0.0
BqbYZxLSPiNGAJGElBH6dq0Gf422,keystroke_only,80,0.04,0.8538461538461538,0.144,0.2,0.2
BqbYZxLSPiNGAJGElBH6dq0Gf422,sensor_only,46,0.22,0.9923076923076923,0.0,0.2,0.008
BqbYZxLSPiNGAJGElBH6dq0Gf422,combined,154,0.165,0.9923076923076923,0.0,0.2,0.0
DJldbpv8XEYPwLseK8tAlA0EFfV2,keystroke_only,80,0.085,0.9076923076923077,0.088,0.2,0.168
DJldbpv8XEYPwLseK8tAlA0EFfV2,sensor_only,46,0.225,1.0,0.0,0.0,0.0
DJldbpv8XEYPwLseK8tAlA0EFfV2,combined,154,0.28500000000000003,1.0,0.0,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,keystroke_only,80,0.03,0.8538461538461538,0.152,0.0,0.02
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,sensor_only,46,0.11,1.0,0.0,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,combined,154,0.145,1.0,0.0,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,keystroke_only,80,0.035,0.8692307692307693,0.136,0.0,0.164
LaWWukYn6xeN1jsWRIBI8QB2PvV2,sensor_only,46,0.15,0.9923076923076923,0.008,0.0,0.004
LaWWukYn6xeN1jsWRIBI8QB2PvV2,combined,154,0.155,1.0,0.0,0.0,0.0
Omo5XrILUTX0J0Jih47KSik6Yi43,keystroke_only,80,0.025,0.8461538461538461,0.16,0.0,0.02
Omo5XrILUTX0J0Jih47KSik6Yi43,sensor_only,46,0.13,0.9923076923076923,0.0,0.2,0.012
Omo5XrILUTX0J0Jih47KSik6Yi43,combined,154,0.02,0.9076923076923077,0.096,0.0,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,keystroke_only,80,0.03,0.8461538461538461,0.16,0.0,0.02
PoPWokLWSNV1fAVoEx4sJEERdqL2,sensor_only,46,0.21,1.0,0.0,0.0,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,combined,154,0.135,0.9769230769230769,0.024,0.0,0.0
PzRGdxGusYScYl0zOpFXECA49Tq1,keystroke_only,80,0.03,0.9,0.096,0.2,0.156
PzRGdxGusYScYl0zOpFXECA49Tq1,sensor_only,46,0.015,0.9461538461538461,0.056,0.0,0.0
PzRGdxGusYScYl0zOpFXECA49Tq1,combined,154,0.02,0.9384615384615385,0.064,0.0,0.024
QcUKYLclszMKbeOKMPTEIZyiKKU2,keystroke_only,80,0.04,0.7923076923076923,0.216,0.0,0.044
