model,avg_accuracy,std_accuracy,avg_far,std_far,avg_frr,std_frr,avg_eer,std_eer
RandomForest,0.9831360946745562,0.02528130312434463,0.016,0.02569980544673442,0.038461538461538464,0.08038369524685005,0.010153846153846154,0.04063859476674095
SVM,0.9715976331360946,0.03645661964674406,0.02830769230769231,0.037878510246068794,0.03076923076923077,0.09281909617845142,0.015692307692307693,0.04566203607441896
XGBoost,0.9639053254437869,0.04388091635562521,0.035076923076923075,0.045259185213101724,0.06153846153846154,0.10982503567738307,0.02307692307692308,0.054591518078854026
