Dataset,Model,Acc_avg,Acc_std,FAR_avg,FAR_std,FRR_avg,FRR_std,EER_avg,EER_std
general,RandomForest,0.981640625,0.023381990717630405,0.018145161290322582,0.02421954898394685,0.025,0.06720215050322471,0.009173387096774194,0.03742320636642523
general,SVM,0.9623046875000001,0.046971926000082834,0.038104838709677416,0.048511373529859465,0.025,0.0842423539174232,0.01028225806451613,0.03078245710905548
general,XGBoost,0.974609375,0.026370570832812606,0.024596774193548387,0.026948581436170366,0.05,0.08798826901281198,0.014818548387096776,0.03539255466975352
personal,RandomForest,0.9921875,0.019700376613396943,0.007661290322580646,0.020430563917716634,0.0125,0.04918693768379647,0.0010080645161290322,0.0051454948205271345
personal,SVM,0.98828125,0.0262178182146319,0.01189516129032258,0.02713091229452983,0.00625,0.035355339059327376,0.0014112903225806453,0.005790097213287291
personal,XGBoost,0.9814453125,0.021794747663270737,0.017943548387096775,0.022984897835651205,0.0375,0.10701220913160239,0.006149193548387097,0.024503520704944947
