user_id,model,threshold,accuracy,far,frr,eer
PzRGdxGusYScYl0zOpFXECA49Tq1,XGBoost,0.055,1.0,0.0,0.0,0.0
QcUKYLclszMKbeOKMPTEIZyiKKU2,RandomForest,0.07,0.9230769230769231,0.08,0.0,0.0
QcUKYLclszMKbeOKMPTEIZyiKKU2,SVM,0.055,0.9538461538461539,0.048,0.0,0.0
QcUKYLclszMKbeOKMPTEIZyiKKU2,XGBoost,0.015,0.8692307692307693,0.136,0.0,0.0
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,RandomForest,0.17,1.0,0.0,0.0,0.0
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,SVM,0.09,1.0,0.0,0.0,0.0
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,XGBoost,0.015,0.9538461538461539,0.048,0.0,0.0
WLA5tSeimOdSy4qCfthdd7C5WeB2,RandomForest,0.185,0.9846153846153847,0.008,0.2,0.008
WLA5tSeimOdSy4qCfthdd7C5WeB2,SVM,0.465,1.0,0.0,0.0,0.0
WLA5tSeimOdSy4qCfthdd7C5WeB2,XGBoost,0.075,0.9846153846153847,0.008,0.2,0.016
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,RandomForest,0.295,0.9846153846153847,0.008,0.2,0.012
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,SVM,0.31,0.9923076923076923,0.008,0.0,0.0
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,XGBoost,0.05,0.9846153846153847,0.016,0.0,0.004
ZPw87WT2yagXd9QO1D3a7uqutlJ3,RandomForest,0.2,0.9923076923076923,0.0,0.2,0.0
ZPw87WT2yagXd9QO1D3a7uqutlJ3,SVM,0.125,0.9923076923076923,0.008,0.0,0.0
ZPw87WT2yagXd9QO1D3a7uqutlJ3,XGBoost,0.055,1.0,0.0,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,RandomForest,0.085,0.9923076923076923,0.008,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,SVM,0.025,1.0,0.0,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,XGBoost,0.015,0.9923076923076923,0.008,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,RandomForest,0.07,0.9615384615384616,0.04,0.0,0.004
i6SCvQJiqYUDYS1leBqlxRY29jr2,SVM,0.135,0.9769230769230769,0.024,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,XGBoost,0.02,0.9615384615384616,0.04,0.0,0.008
pBcgsSbey6YdBbQGH0nEAMUjA9H2,RandomForest,0.22,0.9923076923076923,0.008,0.0,0.0
pBcgsSbey6YdBbQGH0nEAMUjA9H2,SVM,0.035,0.9769230769230769,0.024,0.0,0.0
pBcgsSbey6YdBbQGH0nEAMUjA9H2,XGBoost,0.185,0.9923076923076923,0.008,0.0,0.0
qHMPVSZeEOVJeANy4PmaCi0s1LX2,RandomForest,0.1,0.9846153846153847,0.016,0.0,0.004
qHMPVSZeEOVJeANy4PmaCi0s1LX2,SVM,0.125,0.9615384615384616,0.024,0.4,0.152
qHMPVSZeEOVJeANy4PmaCi0s1LX2,XGBoost,0.04,0.9692307692307692,0.024,0.2,0.14400000000000002
ruaVJyjTBAXieStKhxpnd1GTACE2,RandomForest,0.34,1.0,0.0,0.0,0.0
ruaVJyjTBAXieStKhxpnd1GTACE2,SVM,0.025,0.9769230769230769,0.024,0.0,0.0
ruaVJyjTBAXieStKhxpnd1GTACE2,XGBoost,0.025,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,RandomForest,0.16,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,SVM,0.04,0.9461538461538461,0.048,0.2,0.184
t10BGl5P7lfLJnosyzeNchO2Cgw1,XGBoost,0.015,0.9076923076923077,0.096,0.0,0.0
wL7w4dmBmxSYXUEO9tYBUp6XaA22,RandomForest,0.14,0.9615384615384616,0.04,0.0,0.0
wL7w4dmBmxSYXUEO9tYBUp6XaA22,SVM,0.04,1.0,0.0,0.0,0.0
wL7w4dmBmxSYXUEO9tYBUp6XaA22,XGBoost,0.155,1.0,0.0,0.0,0.0
zADTuV7nEORpOPqPqjLYGgZyVUD3,RandomForest,0.305,1.0,0.0,0.0,0.0
zADTuV7nEORpOPqPqjLYGgZyVUD3,SVM,0.115,0.9692307692307692,0.032,0.0,0.0
zADTuV7nEORpOPqPqjLYGgZyVUD3,XGBoost,0.09,0.9923076923076923,0.008,0.0,0.004
zisvLwXR2sXkiDyF9hQBgzCT5K03,RandomForest,0.125,1.0,0.0,0.0,0.0
zisvLwXR2sXkiDyF9hQBgzCT5K03,SVM,0.305,0.9846153846153847,0.016,0.0,0.008
zisvLwXR2sXkiDyF9hQBgzCT5K03,XGBoost,0.145,1.0,0.0,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,RandomForest,0.16,0.9923076923076923,0.008,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,SVM,0.015,0.9769230769230769,0.024,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,XGBoost,0.015,0.9307692307692308,0.072,0.0,0.0
