train_size,avg_accuracy,std_accuracy,avg_far,std_far,avg_frr,std_frr,avg_eer,std_eer,n_users
3,0.9717702169625245,0.028437550973420735,0.026410256410256412,0.029946961662587958,0.0737179487179487,0.12093828333521348,0.03288461538461539,0.046003762387941204,26
5,0.9829881656804733,0.02651722844949477,0.016615384615384615,0.02793575046148132,0.02692307692307692,0.05334935656738371,0.004846153846153846,0.019977371814515157,26
8,0.9885883347421811,0.0223010912619143,0.01120879120879121,0.023392628553534595,0.016483516483516484,0.04654465622977444,0.000989010989010989,0.0032266550765043906,26
10,0.9940828402366864,0.014805674956718015,0.005538461538461539,0.015474445435570914,0.015384615384615385,0.0543492976389406,0.0006153846153846154,0.0031378581622109446,26
