user_id,feature_group,n_features,threshold,accuracy,far,frr,eer
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,sensor_only,46,0.045,0.9212121212121213,0.08125,0.0,0.040625
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,combined,154,0.115,0.9878787878787879,0.0125,0.0,0.00625
WLA5tSeimOdSy4qCfthdd7C5WeB2,keystroke_only,80,0.17500000000000002,0.9939393939393939,0.00625,0.0,0.003125
WLA5tSeimOdSy4qCfthdd7C5WeB2,sensor_only,46,0.025,0.8909090909090909,0.1,0.4,0.25
WLA5tSeimOdSy4qCfthdd7C5WeB2,combined,154,0.085,0.9636363636363636,0.0375,0.0,0.01875
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,keystroke_only,80,0.055,0.896969696969697,0.10625,0.0,0.053125
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,sensor_only,46,0.17500000000000002,0.9878787878787879,0.00625,0.2,0.10312500000000001
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,combined,154,0.20500000000000002,0.9939393939393939,0.0,0.2,0.1
ZPw87WT2yagXd9QO1D3a7uqutlJ3,keystroke_only,80,0.1,0.9636363636363636,0.03125,0.2,0.115625
ZPw87WT2yagXd9QO1D3a7uqutlJ3,sensor_only,46,0.1,0.9636363636363636,0.03125,0.2,0.115625
ZPw87WT2yagXd9QO1D3a7uqutlJ3,combined,154,0.11,1.0,0.0,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,keystroke_only,80,0.05,0.9151515151515152,0.0875,0.0,0.04375
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,sensor_only,46,0.02,0.9696969696969697,0.03125,0.0,0.015625
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,combined,154,0.025,0.9878787878787879,0.0125,0.0,0.00625
i6SCvQJiqYUDYS1leBqlxRY29jr2,keystroke_only,80,0.045,0.9030303030303031,0.1,0.0,0.05
i6SCvQJiqYUDYS1leBqlxRY29jr2,sensor_only,46,0.035,0.8606060606060606,0.14375,0.0,0.071875
i6SCvQJiqYUDYS1leBqlxRY29jr2,combined,154,0.04,0.8606060606060606,0.14375,0.0,0.071875
my57RUXuMdcCABGumWAajjhxjgi2,keystroke_only,80,0.045,0.8909090909090909,0.1125,0.0,0.05625
