dataset,feature_group,rank,feature,mean_importance,std_importance
personal,keystroke_only,1,dd_cc_count,0.020460381838896327,0.03343633896845989
personal,keystroke_only,2,uu_median,0.019203396461067557,0.021700084463414208
personal,keystroke_only,3,ft_median,0.019095035169413042,0.021454864520055055
personal,keystroke_only,4,dd_vc_count,0.0182329750629353,0.02834543273300288
personal,keystroke_only,5,dd_median,0.017607769921439913,0.01768290055573656
personal,keystroke_only,6,dd_sl_count,0.015989244972863196,0.025455384499993714
personal,keystroke_only,7,dd_cv_count,0.01513280909931277,0.024177275359804625
personal,keystroke_only,8,dd_mean,0.014258679672820946,0.022021782309111632
personal,keystroke_only,9,dd_vc_median,0.012575075167890852,0.015603622190358152
personal,keystroke_only,10,dd_cv_median,0.01242808338735213,0.012941664867375798
personal,keystroke_only,11,dd_cc_median,0.012382180870136207,0.01992846131195754
personal,keystroke_only,12,n_inserts,0.012268043920920636,0.02079648862665442
personal,keystroke_only,13,ft_mean,0.011805022157152187,0.014312536738106656
personal,keystroke_only,14,dd_sl_median,0.011721270168523921,0.01741086224571342
personal,keystroke_only,15,wpm,0.009314209582030936,0.011935651243013287
personal,keystroke_only,16,dd_ls_count,0.009289997703437688,0.01571996761994227
personal,keystroke_only,17,pd_mean,0.008968270099639259,0.011933068664136372
personal,keystroke_only,18,n_ft_valid,0.008749536515942444,0.017959759223112277
personal,keystroke_only,19,consonant_pd,0.008719512883169704,0.01942123216611333
personal,keystroke_only,20,n_dd_valid,0.00864762501990467,0.017585802605198826
personal,keystroke_only,21,dd_ls_median,0.008229340325706613,0.009761562827897138
personal,keystroke_only,22,dd_cv_mean,0.007582836407624491,0.010020527924103855
personal,keystroke_only,23,uu_mean,0.007561354387104376,0.008709606072178026
personal,keystroke_only,24,capital_pd,0.007448393884812087,0.023263666852474503
personal,keystroke_only,25,total_duration,0.007389768311977013,0.013886307175983572
personal,keystroke_only,26,dd_iqr,0.007298975054926502,0.014240343938169498
personal,keystroke_only,27,cps,0.007058692020882759,0.010933948827441385
personal,keystroke_only,28,dd_cc_mean,0.0066216463883569925,0.017737491450896405
personal,keystroke_only,29,dd_vc_mean,0.006512270028162464,0.009116722865648153
personal,keystroke_only,30,n_uu_valid,0.00632734341490581,0.012130441224338165
personal,keystroke_only,31,uu_min,0.005945500169567023,0.006243499775758261
personal,keystroke_only,32,ft_min,0.005912802004477607,0.0077656077454124174
personal,keystroke_only,33,vowel_pd,0.005811662626080292,0.011568057406246508
personal,keystroke_only,34,dd_sl_mean,0.0046990338380652995,0.007142837627534292
personal,keystroke_only,35,pd_median,0.004189140067518339,0.0056087384553897175
personal,keystroke_only,36,micro_pause_per_char,0.004026563790035335,0.008599932615722249
personal,keystroke_only,37,space_pd,0.003941015718456038,0.010071546757388779
personal,keystroke_only,38,dd_min,0.003870432945760529,0.005331511570302295
personal,keystroke_only,39,space_ft,0.0034463630634398437,0.005202821352412915
personal,keystroke_only,40,special_pd,0.0032189967659926586,0.005775000031236511
personal,keystroke_only,41,micro_pause_count,0.0026961681451368974,0.007165691448948851
personal,keystroke_only,42,dd_ls_mean,0.0026143641506721615,0.004372457583871647
personal,keystroke_only,43,dd_cv_ratio,0.0026075264669200436,0.006831956598921103
personal,keystroke_only,44,dd_ls_std,0.0023445088824486124,0.00755504401165209
personal,keystroke_only,45,long_pause_per_char,0.002300038077004525,0.0050474709604978
personal,keystroke_only,46,long_pause_count,0.001642257625231361,0.004989088744691214
personal,keystroke_only,47,burst_count_per_char,0.0014522696129341433,0.003418838129440327
personal,keystroke_only,48,ft_std,0.0013893328873180299,0.0035147476731981955
personal,keystroke_only,49,dd_cc_std,0.001367903180387716,0.003716339825632922
personal,keystroke_only,50,uu_std,0.0012693970556384195,0.003398312869244163
personal,keystroke_only,51,max_burst_size,0.0012439090423367397,0.0026447203060311775
personal,keystroke_only,52,dd_trend_slope,0.0011717078371621312,0.0033735882963990813
personal,keystroke_only,53,dd_std,0.0011442436287270447,0.0026774466786112124
personal,keystroke_only,54,pd_std,0.0010447397901243956,0.0017481423610032124
personal,keystroke_only,55,dd_cv_std,0.0009980595624851428,0.0019637529533401733
personal,keystroke_only,56,backspace_per_char,0.0008846640626448182,0.0017662280180233774
personal,keystroke_only,57,mean_corr_time,0.0008730202903855875,0.0014270294793859728
personal,keystroke_only,58,typing_efficiency,0.0008689290181265173,0.0012462900291581379
personal,keystroke_only,59,pd_min,0.000857180412097673,0.0021668031625207106
personal,keystroke_only,60,backspace_count,0.0007418132088150141,0.0019151319979747545
personal,keystroke_only,61,dd_sl_std,0.0007112129507437355,0.0014311412324432033
personal,keystroke_only,62,dd_kurt,0.000689408743067046,0.001610034886284798
personal,keystroke_only,63,ft_max,0.0006314551827514972,0.002080140723925644
personal,keystroke_only,64,mean_burst_size,0.0006141405203104239,0.0013196748725682367
personal,keystroke_only,65,dd_vc_std,0.0005959755047852893,0.0010241299517066336
personal,keystroke_only,66,pd_skew,0.0005919478881929912,0.0013247041357105091
personal,keystroke_only,67,dd_max,0.0005483830987903941,0.0018918342682610115
personal,keystroke_only,68,dd_valid_ratio,0.0005341724991879286,0.0026033310957437428
personal,keystroke_only,69,uu_max,0.0005118150521783682,0.0015163423410101064
personal,keystroke_only,70,uu_kurt,0.0005081008278242808,0.001220097464911769
personal,keystroke_only,71,pd_max,0.0005051747653913457,0.00136001798615026
personal,keystroke_only,72,pd_kurt,0.00043805498262892474,0.0006859617418331983
personal,keystroke_only,73,ft_skew,0.0004263315689095446,0.0010388514137313661
personal,keystroke_only,74,error_rate,0.0004257129759891299,0.0009858534991698039
personal,keystroke_only,75,uu_skew,0.000423169355624321,0.0007951906654933838
personal,keystroke_only,76,uu_valid_ratio,0.00039798018115395147,0.0018669645402880674
personal,keystroke_only,77,ft_valid_ratio,0.0003858213809360223,0.0015697695337745772
personal,keystroke_only,78,dd_skew,0.0003390209147171231,0.0007866087913951107
personal,keystroke_only,79,burst_count,0.0002998687882159459,0.0006397616906287044
personal,keystroke_only,80,ft_kurt,0.0002810105013541837,0.0005218827570082271
personal,sensor_only,1,gyro_jerk_std,0.015465020671350704,0.021798913324624702
personal,sensor_only,2,gyro_mag_p95,0.015046089816257328,0.01693375205035673
personal,sensor_only,3,gyro_fs_hz,0.014922032027097052,0.022411289849468222
personal,sensor_only,4,acc_planarity,0.014235756329468024,0.024001435393930272
personal,sensor_only,5,gyro_axis_corr_yz,0.014110207856346521,0.025999125342634394
personal,sensor_only,6,gyro_axis_corr_xy,0.013772066089447312,0.025797696833149756
personal,sensor_only,7,gyro_axis_corr_xz,0.013381304790091577,0.021843052530441515
personal,sensor_only,8,acc_mag_median,0.013024148098156649,0.017792081016620585
personal,sensor_only,9,gyro_mag_median,0.012540511091793102,0.020327974187166177
personal,sensor_only,10,acc_axis_corr_xz,0.012115228533497686,0.023503788920030636
personal,sensor_only,11,gyro_mag_iqr,0.011831134391757588,0.01345902186687282
personal,sensor_only,12,acc_axis_corr_yz,0.011071055554476735,0.017329543294200563
personal,sensor_only,13,gyro_n_samples,0.011003321725476063,0.018569728299288712
personal,sensor_only,14,gyro_energy,0.01068604125807005,0.014164853807702653
personal,sensor_only,15,acc_axis_corr_xy,0.010667894556643295,0.018292315991024603
personal,sensor_only,16,gyro_mag_p99,0.01055178268121688,0.01587927004773489
personal,sensor_only,17,gyro_mag_std,0.01007568723573547,0.012888887876001972
personal,sensor_only,18,acc_jerk_std,0.009808314887926599,0.016208871749106273
personal,sensor_only,19,acc_fs_hz,0.009371112676323304,0.01391424119220643
personal,sensor_only,20,gyro_rms,0.009009443452881807,0.010710502335980863
personal,sensor_only,21,acc_mag_mean,0.00859508095361822,0.010731133484161463
personal,sensor_only,22,gyro_mag_mean,0.008471629568017672,0.011541667992562288
personal,sensor_only,23,gyro_mag_mad,0.00845590000678195,0.010853522742638901
personal,sensor_only,24,acc_n_samples,0.008437821723755163,0.013125175929316911
personal,sensor_only,25,acc_mag_mad,0.00754931494380304,0.011472695051407005
personal,sensor_only,26,gyro_cv,0.007233786289704025,0.012753943300796803
personal,sensor_only,27,acc_mag_iqr,0.006555778078826717,0.00976424234945616
personal,sensor_only,28,acc_duration_sec,0.0065272850807784714,0.007154221804588122
personal,sensor_only,29,acc_dt_mean,0.0062158458037309796,0.012232927639631873
personal,sensor_only,30,acc_mag_p95,0.005852246268677477,0.006587344024700333
personal,sensor_only,31,acc_energy,0.005273987374594753,0.007399105678688482
personal,sensor_only,32,gyro_duration_sec,0.004849547598215476,0.00703728339008944
personal,sensor_only,33,acc_rms,0.004777237608586071,0.00678927732794201
personal,sensor_only,34,gyro_dt_mean,0.004701289915978912,0.00952912439096626
personal,sensor_only,35,gyro_mag_spectral_entropy,0.004198941193965399,0.008047060794553123
personal,sensor_only,36,gyro_mag_trend_slope,0.004072537342163749,0.015453454373763725
personal,sensor_only,37,acc_cv,0.003878772306987893,0.007338229363421749
personal,sensor_only,38,gyro_planarity,0.003403888489922045,0.0055601112139252165
personal,sensor_only,39,acc_mag_p99,0.002802641190400663,0.0053343365260319475
