rank,feature,mean_importance,std_importance
1,dd_cc_count,0.020460381838896327,0.03343633896845989
2,uu_median,0.019203396461067557,0.021700084463414208
3,ft_median,0.019095035169413042,0.021454864520055055
4,dd_vc_count,0.0182329750629353,0.02834543273300288
5,dd_median,0.017607769921439913,0.01768290055573656
6,dd_sl_count,0.015989244972863196,0.025455384499993714
7,dd_cv_count,0.01513280909931277,0.024177275359804625
8,dd_mean,0.014258679672820946,0.022021782309111632
9,dd_vc_median,0.012575075167890852,0.015603622190358152
10,dd_cv_median,0.01242808338735213,0.012941664867375798
11,dd_cc_median,0.012382180870136207,0.01992846131195754
12,n_inserts,0.012268043920920636,0.02079648862665442
13,ft_mean,0.011805022157152187,0.014312536738106656
14,dd_sl_median,0.011721270168523921,0.01741086224571342
15,wpm,0.009314209582030936,0.011935651243013287
16,dd_ls_count,0.009289997703437688,0.01571996761994227
17,pd_mean,0.008968270099639259,0.011933068664136372
18,n_ft_valid,0.008749536515942444,0.017959759223112277
19,consonant_pd,0.008719512883169704,0.01942123216611333
20,n_dd_valid,0.00864762501990467,0.017585802605198826
21,dd_ls_median,0.008229340325706613,0.009761562827897138
22,dd_cv_mean,0.007582836407624491,0.010020527924103855
23,uu_mean,0.007561354387104376,0.008709606072178026
24,capital_pd,0.007448393884812087,0.023263666852474503
25,total_duration,0.007389768311977013,0.013886307175983572
26,dd_iqr,0.007298975054926502,0.014240343938169498
27,cps,0.007058692020882759,0.010933948827441385
28,dd_cc_mean,0.0066216463883569925,0.017737491450896405
29,dd_vc_mean,0.006512270028162464,0.009116722865648153
30,n_uu_valid,0.00632734341490581,0.012130441224338165
31,uu_min,0.005945500169567023,0.006243499775758261
32,ft_min,0.005912802004477607,0.0077656077454124174
33,vowel_pd,0.005811662626080292,0.011568057406246508
34,dd_sl_mean,0.0046990338380652995,0.007142837627534292
35,pd_median,0.004189140067518339,0.0056087384553897175
36,micro_pause_per_char,0.004026563790035335,0.008599932615722249
37,space_pd,0.003941015718456038,0.010071546757388779
38,dd_min,0.003870432945760529,0.005331511570302295
39,space_ft,0.0034463630634398437,0.005202821352412915
40,special_pd,0.0032189967659926586,0.005775000031236511
41,micro_pause_count,0.0026961681451368974,0.007165691448948851
42,dd_ls_mean,0.0026143641506721615,0.004372457583871647
43,dd_cv_ratio,0.0026075264669200436,0.006831956598921103
44,dd_ls_std,0.0023445088824486124,0.00755504401165209
45,long_pause_per_char,0.002300038077004525,0.0050474709604978
46,long_pause_count,0.001642257625231361,0.004989088744691214
47,burst_count_per_char,0.0014522696129341433,0.003418838129440327
48,ft_std,0.0013893328873180299,0.0035147476731981955
49,dd_cc_std,0.001367903180387716,0.003716339825632922
50,uu_std,0.0012693970556384195,0.003398312869244163
51,max_burst_size,0.0012439090423367397,0.0026447203060311775
52,dd_trend_slope,0.0011717078371621312,0.0033735882963990813
53,dd_std,0.0011442436287270447,0.0026774466786112124
54,pd_std,0.0010447397901243956,0.0017481423610032124
55,dd_cv_std,0.0009980595624851428,0.0019637529533401733
56,backspace_per_char,0.0008846640626448182,0.0017662280180233774
57,mean_corr_time,0.0008730202903855875,0.0014270294793859728
58,typing_efficiency,0.0008689290181265173,0.0012462900291581379
59,pd_min,0.000857180412097673,0.0021668031625207106
60,backspace_count,0.0007418132088150141,0.0019151319979747545
61,dd_sl_std,0.0007112129507437355,0.0014311412324432033
62,dd_kurt,0.000689408743067046,0.001610034886284798
63,ft_max,0.0006314551827514972,0.002080140723925644
64,mean_burst_size,0.0006141405203104239,0.0013196748725682367
65,dd_vc_std,0.0005959755047852893,0.0010241299517066336
66,pd_skew,0.0005919478881929912,0.0013247041357105091
67,dd_max,0.0005483830987903941,0.0018918342682610115
68,dd_valid_ratio,0.0005341724991879286,0.0026033310957437428
69,uu_max,0.0005118150521783682,0.0015163423410101064
70,uu_kurt,0.0005081008278242808,0.001220097464911769
71,pd_max,0.0005051747653913457,0.00136001798615026
72,pd_kurt,0.00043805498262892474,0.0006859617418331983
73,ft_skew,0.0004263315689095446,0.0010388514137313661
74,error_rate,0.0004257129759891299,0.0009858534991698039
75,uu_skew,0.000423169355624321,0.0007951906654933838
76,uu_valid_ratio,0.00039798018115395147,0.0018669645402880674
77,ft_valid_ratio,0.0003858213809360223,0.0015697695337745772
78,dd_skew,0.0003390209147171231,0.0007866087913951107
79,burst_count,0.0002998687882159459,0.0006397616906287044
80,ft_kurt,0.0002810105013541837,0.0005218827570082271
