dataset,feature_group,rank,feature,mean_importance,std_importance
general,keystroke_only,1,dd_median,0.020434540730651696,0.019487955370244368
general,keystroke_only,2,ft_median,0.020273270507335128,0.023713125944503196
general,keystroke_only,3,uu_median,0.01909410153907761,0.02222484979196945
general,keystroke_only,4,dd_mean,0.01527195008395199,0.02128790844540817
general,keystroke_only,5,dd_vc_median,0.013554711822441992,0.016761418302938588
general,keystroke_only,6,dd_cv_median,0.01218377595078,0.01253844181940723
general,keystroke_only,7,ft_mean,0.011623841590141636,0.01414219633330712
general,keystroke_only,8,uu_min,0.011078480014969912,0.010383844663879494
general,keystroke_only,9,dd_sl_median,0.010936031197741862,0.019857713243080156
general,keystroke_only,10,dd_ls_median,0.010803474501870068,0.011866277565023436
general,keystroke_only,11,ft_min,0.010523628043781383,0.012011643972066539
general,keystroke_only,12,dd_cc_median,0.010068550610278202,0.014865085353025177
general,keystroke_only,13,dd_cv_mean,0.009326318203092914,0.01229972375476278
general,keystroke_only,14,wpm,0.008754499770180153,0.012490687554527652
general,keystroke_only,15,dd_vc_mean,0.008357971061530332,0.010566077895911208
general,keystroke_only,16,pd_mean,0.008131910726587912,0.010759494994359261
general,keystroke_only,17,uu_mean,0.007962110601615887,0.007665263204488395
general,keystroke_only,18,consonant_pd,0.007807834248816191,0.01397943875143903
general,keystroke_only,19,dd_min,0.007226320186276368,0.007777158042667521
general,keystroke_only,20,dd_iqr,0.006879165973827382,0.016203063486510478
general,keystroke_only,21,cps,0.006749808179219548,0.007983175898521126
general,keystroke_only,22,pd_median,0.0066070356698236885,0.008791386298346544
general,keystroke_only,23,dd_sl_mean,0.005870255009722239,0.01158010461450509
general,keystroke_only,24,space_ft,0.0058512884842617675,0.010831163630060914
general,keystroke_only,25,uu_std,0.005647428357192434,0.01460085068848777
general,keystroke_only,26,vowel_pd,0.005635473519157401,0.010406122886473685
general,keystroke_only,27,dd_ls_mean,0.0046790014553967935,0.010134869855419278
general,keystroke_only,28,total_duration,0.00418798231688489,0.0068619750662307554
general,keystroke_only,29,space_pd,0.004120502003810036,0.0051549357478026985
general,keystroke_only,30,micro_pause_per_char,0.004035302552710573,0.007834239334841618
general,keystroke_only,31,dd_std,0.0038111306202412315,0.008404531183432713
general,keystroke_only,32,special_pd,0.00375775783143261,0.005546153663315918
general,keystroke_only,33,dd_cc_mean,0.0036368306695930192,0.00879780507051871
general,keystroke_only,34,dd_cv_ratio,0.003567271297900513,0.006961607403952463
general,keystroke_only,35,ft_std,0.0034411125376282432,0.0067708978841729515
general,keystroke_only,36,pd_std,0.003068968572579408,0.007354482823433573
general,keystroke_only,37,ft_max,0.0029855260578653406,0.007327382076822644
general,keystroke_only,38,burst_count_per_char,0.00280115498440084,0.006520924420140313
general,keystroke_only,39,n_dd_valid,0.0027190639723244205,0.007046601063524885
general,keystroke_only,40,long_pause_per_char,0.0025292464529235083,0.005131132297890548
general,keystroke_only,41,n_uu_valid,0.0022862179462978713,0.006413435291967756
general,keystroke_only,42,micro_pause_count,0.0022723861046108117,0.004898288576617148
general,keystroke_only,43,error_rate,0.0022491707469157827,0.007006285239651372
general,keystroke_only,44,typing_efficiency,0.002128657592985493,0.005508501743706931
general,keystroke_only,45,dd_max,0.0020301471531370945,0.005530431563228154
general,keystroke_only,46,dd_ls_std,0.0018775765977499886,0.004941459467576062
general,keystroke_only,47,pd_max,0.001834731907834685,0.0050898551135309285
general,keystroke_only,48,long_pause_count,0.0018009552365211114,0.0032157119575995166
general,keystroke_only,49,dd_cc_std,0.0015906886509016685,0.0030391062387143185
general,keystroke_only,50,backspace_per_char,0.0015852451118090521,0.004300753828101068
general,keystroke_only,51,n_ft_valid,0.0015623922655399406,0.003995715092948359
general,keystroke_only,52,pd_min,0.0014541753818296235,0.003773074679551277
