rank,feature,mean_importance,std_importance
1,acc_planarity,0.018342028390814773,0.031211596438902756
2,gyro_fs_hz,0.018215540451188506,0.02525298943189538
3,gyro_axis_corr_xz,0.017179808093059655,0.025946944480445957
4,gyro_jerk_std,0.015319677001913312,0.02054407437022047
5,acc_axis_corr_yz,0.01462621655438944,0.022430163345069743
6,acc_axis_corr_xz,0.014342379266832761,0.019581169130249765
7,gyro_axis_corr_xy,0.014197420907477816,0.02490063551949114
8,gyro_axis_corr_yz,0.014152502762801515,0.01955380005795214
9,acc_mag_median,0.014112199191371907,0.02134765844408925
10,gyro_mag_p95,0.013097900845147453,0.01973787971322957
11,acc_fs_hz,0.012178128253422444,0.01767286382144829
12,acc_axis_corr_xy,0.010930740449416904,0.0208403809865774
13,gyro_mag_std,0.010904316628853368,0.017626221009425888
14,acc_jerk_std,0.01083571751350244,0.019584118441793797
15,gyro_energy,0.01035100747001069,0.016726110792846104
16,gyro_mag_median,0.010312087924757324,0.012640215966955205
17,gyro_mag_p99,0.010124778738367892,0.018909400981282888
18,gyro_mag_iqr,0.00996650240366842,0.012186492103887668
19,acc_mag_mean,0.00984689219592425,0.014975782041358833
20,gyro_mag_mad,0.00974277005307633,0.012733943374137018
21,acc_mag_mad,0.00908035466501321,0.01179592880067135
22,acc_mag_p95,0.008766249662325169,0.0096069286499143
23,gyro_rms,0.008764888171342125,0.011696471090764556
24,acc_energy,0.008333826970905936,0.010186934214660161
25,gyro_n_samples,0.008124919474010076,0.014662021842467402
26,gyro_mag_mean,0.007796928963361851,0.01065163996334701
27,gyro_cv,0.007659644800865447,0.012418145942718596
28,acc_mag_iqr,0.007513204639414486,0.0118757275959782
29,acc_cv,0.006402790599428832,0.014012563631937588
30,gyro_planarity,0.006277959907456305,0.010673113670659986
31,acc_mag_p99,0.005940227380898269,0.009725466643021279
32,acc_rms,0.005523529494037027,0.007403308354816599
33,acc_duration_sec,0.0051246132061078765,0.007777082965800381
34,acc_dt_mean,0.005024663990386588,0.009993390468312796
35,acc_n_samples,0.004550813875706168,0.006604567776473097
36,gyro_mag_spectral_entropy,0.004135577142784511,0.009012677374252435
37,gyro_dt_mean,0.003506011144288866,0.006392980423178695
38,gyro_duration_sec,0.0034467418846466204,0.005235826064402268
39,acc_mag_std,0.003354983409247677,0.0046731938896969845
40,acc_mag_spectral_entropy,0.0031781618840906697,0.007605175175758228
41,gyro_mag_trend_slope,0.001018645072564716,0.0023175090060118166
42,acc_dt_std,0.0007106037067316523,0.0012110461247331907
43,gyro_dt_std,0.0005341136288476301,0.001116053179006602
44,acc_mag_trend_slope,0.0005203687386345966,0.0011584939672181895
45,acc_cov,0.0002069055707404259,0.0003986490072661472
46,gyro_cov,0.0002007449986155806,0.0005834165875306331
