rank,feature,mean_importance,std_importance
1,gyro_jerk_std,0.015465020671350704,0.021798913324624702
2,gyro_mag_p95,0.015046089816257328,0.01693375205035673
3,gyro_fs_hz,0.014922032027097052,0.022411289849468222
4,acc_planarity,0.014235756329468024,0.024001435393930272
5,gyro_axis_corr_yz,0.014110207856346521,0.025999125342634394
6,gyro_axis_corr_xy,0.013772066089447312,0.025797696833149756
7,gyro_axis_corr_xz,0.013381304790091577,0.021843052530441515
8,acc_mag_median,0.013024148098156649,0.017792081016620585
9,gyro_mag_median,0.012540511091793102,0.020327974187166177
10,acc_axis_corr_xz,0.012115228533497686,0.023503788920030636
11,gyro_mag_iqr,0.011831134391757588,0.01345902186687282
12,acc_axis_corr_yz,0.011071055554476735,0.017329543294200563
13,gyro_n_samples,0.011003321725476063,0.018569728299288712
14,gyro_energy,0.01068604125807005,0.014164853807702653
15,acc_axis_corr_xy,0.010667894556643295,0.018292315991024603
16,gyro_mag_p99,0.01055178268121688,0.01587927004773489
17,gyro_mag_std,0.01007568723573547,0.012888887876001972
18,acc_jerk_std,0.009808314887926599,0.016208871749106273
19,acc_fs_hz,0.009371112676323304,0.01391424119220643
20,gyro_rms,0.009009443452881807,0.010710502335980863
21,acc_mag_mean,0.00859508095361822,0.010731133484161463
22,gyro_mag_mean,0.008471629568017672,0.011541667992562288
23,gyro_mag_mad,0.00845590000678195,0.010853522742638901
24,acc_n_samples,0.008437821723755163,0.013125175929316911
25,acc_mag_mad,0.00754931494380304,0.011472695051407005
26,gyro_cv,0.007233786289704025,0.012753943300796803
27,acc_mag_iqr,0.006555778078826717,0.00976424234945616
28,acc_duration_sec,0.0065272850807784714,0.007154221804588122
29,acc_dt_mean,0.0062158458037309796,0.012232927639631873
30,acc_mag_p95,0.005852246268677477,0.006587344024700333
31,acc_energy,0.005273987374594753,0.007399105678688482
32,gyro_duration_sec,0.004849547598215476,0.00703728339008944
33,acc_rms,0.004777237608586071,0.00678927732794201
34,gyro_dt_mean,0.004701289915978912,0.00952912439096626
35,gyro_mag_spectral_entropy,0.004198941193965399,0.008047060794553123
36,gyro_mag_trend_slope,0.004072537342163749,0.015453454373763725
37,acc_cv,0.003878772306987893,0.007338229363421749
38,gyro_planarity,0.003403888489922045,0.0055601112139252165
39,acc_mag_p99,0.002802641190400663,0.0053343365260319475
40,acc_mag_trend_slope,0.001938367304749584,0.006899466938977723
41,acc_mag_std,0.0016962365875591789,0.0019039693440161608
42,acc_mag_spectral_entropy,0.0015434480429155502,0.00408963407231302
43,acc_dt_std,0.00039269110598764,0.0007690391893560506
44,acc_cov,0.0003633359623918908,0.0008537469505690923
45,gyro_dt_std,0.00028791105322467143,0.00048188252173032354
46,gyro_cov,0.00014919656582257446,0.0003445515172406929
