kernel,C,gamma,class_weight,undersampling,accuracy_mean,FAR_mean,FRR_mean,accuracy_std,FAR_std,FRR_std
rbf,100.0,0.001,,False,0.9924050632911394,0.0,0.15,0.010126582278481004,0.0,0.19999999999999998
rbf,100.0,0.001,balanced,False,0.9924050632911394,0.0,0.15,0.010126582278481004,0.0,0.19999999999999998
linear,0.1,,,False,0.9917721518987342,0.0006666666666666668,0.15,0.010027202226427119,0.0029059326290271155,0.19999999999999998
linear,0.1,,balanced,False,0.9917721518987342,0.0006666666666666668,0.15,0.010027202226427119,0.0029059326290271155,0.19999999999999998
linear,1.0,,,False,0.9917721518987342,0.0006666666666666668,0.15,0.010027202226427119,0.0029059326290271155,0.19999999999999998
linear,1.0,,balanced,False,0.9917721518987342,0.0006666666666666668,0.15,0.010027202226427119,0.0029059326290271155,0.19999999999999998
linear,10.0,,,False,0.9917721518987342,0.0006666666666666668,0.15,0.010027202226427119,0.0029059326290271155,0.19999999999999998
linear,10.0,,balanced,False,0.9917721518987342,0.0006666666666666668,0.15,0.010027202226427119,0.0029059326290271155,0.19999999999999998
linear,100.0,,,False,0.9917721518987342,0.0006666666666666668,0.15,0.010027202226427119,0.0029059326290271155,0.19999999999999998
linear,100.0,,balanced,False,0.9917721518987342,0.0006666666666666668,0.15,0.010027202226427119,0.0029059326290271155,0.19999999999999998
rbf,0.1,scale,,False,0.9905063291139242,0.0,0.1875,0.009702347921997392,0.0,0.19162137145944866
rbf,0.1,auto,,False,0.9905063291139242,0.0,0.1875,0.009702347921997392,0.0,0.19162137145944866
rbf,0.1,0.01,,False,0.9898734177215193,0.0,0.2,0.010283592917260704,0.0,0.203100960115899
rbf,10.0,scale,,False,0.9898734177215193,0.0,0.2,0.011738757589235075,0.0,0.2318404623873926
rbf,10.0,auto,,False,0.9898734177215193,0.0,0.2,0.011738757589235075,0.0,0.2318404623873926
rbf,10.0,scale,balanced,False,0.9898734177215193,0.0,0.2,0.011738757589235075,0.0,0.2318404623873926
rbf,10.0,auto,balanced,False,0.9898734177215193,0.0,0.2,0.011738757589235075,0.0,0.2318404623873926
rbf,100.0,scale,,False,0.9898734177215193,0.0,0.2,0.011738757589235075,0.0,0.2318404623873926
rbf,100.0,auto,,False,0.9898734177215193,0.0,0.2,0.011738757589235075,0.0,0.2318404623873926
rbf,100.0,scale,balanced,False,0.9898734177215193,0.0,0.2,0.011738757589235075,0.0,0.2318404623873926
rbf,100.0,auto,balanced,False,0.9898734177215193,0.0,0.2,0.011738757589235075,0.0,0.2318404623873926
rbf,0.1,0.001,,False,0.9898734177215193,0.0006666666666666668,0.1875,0.009472550346263136,0.0029059326290271155,0.19162137145944866
