scenario_id,test_size,threshold_mode,mean_train_pos,mean_train_neg,mean_test_pos,mean_test_neg,mean_threshold,mean_eer_value,std_eer_value,mean_accuracy,std_accuracy,mean_far,std_far,mean_frr,std_frr
8,0.2,default_05,12.0,240.0,3.0,60.0,0.5,0.0020833333333333333,0.005969586661761493,0.9912698412698413,0.009600084425861915,0.0016666666666666666,0.00512989176042577,0.15,0.20160177294309978
7,0.2,fixed_030,12.0,240.0,3.0,60.0,0.29999999999999993,0.0020833333333333333,0.005969586661761493,0.9920634920634921,0.01092455875574105,0.003333333333333333,0.008719139396343282,0.09999999999999999,0.19041352352582647
9,0.2,eer,12.0,240.0,3.0,60.0,0.6333994369004297,0.0020833333333333333,0.005969586661761493,0.996031746031746,0.011370641260498096,0.004166666666666667,0.011939173323522985,0.0,0.0
6,0.2,fixed_020,12.0,240.0,3.0,60.0,0.20000000000000004,0.0020833333333333333,0.005969586661761493,0.9928571428571429,0.010894170494496197,0.004166666666666667,0.009168660070336348,0.06666666666666667,0.13679711361135385
5,0.2,fixed_015,12.0,240.0,3.0,60.0,0.14999999999999997,0.0020833333333333333,0.005969586661761493,0.9896825396825397,0.013890380633578118,0.0075,0.013759632458031608,0.06666666666666667,0.13679711361135385
4,0.2,fixed_010,12.0,240.0,3.0,60.0,0.10000000000000002,0.0020833333333333333,0.005969586661761493,0.9857142857142858,0.018496625480212046,0.013333333333333332,0.017605156076213477,0.03333333333333333,0.10259783520851541
3,0.2,fixed_007,12.0,240.0,3.0,60.0,0.07000000000000002,0.0020833333333333333,0.005969586661761493,0.9730158730158729,0.021909725443476018,0.027500000000000004,0.023116157231386856,0.016666666666666666,0.07453559924999299
2,0.2,fixed_005,12.0,240.0,3.0,60.0,0.05000000000000001,0.0020833333333333333,0.005969586661761493,0.95,0.030586596868088903,0.052500000000000005,0.032115926711493346,0.0,0.0
1,0.2,fixed_003,12.0,240.0,3.0,60.0,0.030000000000000006,0.0020833333333333333,0.005969586661761493,0.8912698412698413,0.05481061604078217,0.11416666666666667,0.05755114684282127,0.0,0.0
17,0.25,default_05,11.0,225.0,4.0,75.0,0.5,0.0023333333333333335,0.006222013363244863,0.9924050632911394,0.010389654198330664,0.0,0.0,0.15,0.20519567041703082
16,0.25,fixed_030,11.0,225.0,4.0,75.0,0.29999999999999993,0.0023333333333333335,0.006222013363244863,0.9905063291139241,0.010768307711688612,0.002,0.006524806465727905,0.15,0.20519567041703082
18,0.25,eer,11.0,225.0,4.0,75.0,0.4924982705174751,0.0023333333333333335,0.006222013363244863,0.9955696202531644,0.011813949423882647,0.004666666666666667,0.012444026726489726,0.0,0.0
15,0.25,fixed_020,11.0,225.0,4.0,75.0,0.20000000000000004,0.0023333333333333335,0.006222013363244863,0.9892405063291141,0.011077138986271145,0.004666666666666667,0.01083636934516332,0.125,0.17206180040292132
14,0.25,fixed_015,11.0,225.0,4.0,75.0,0.14999999999999997,0.0023333333333333335,0.006222013363244863,0.9905063291139241,0.011524879341776276,0.005333333333333334,0.011767732668774506,0.0875,0.14678573715309992
13,0.25,fixed_010,11.0,225.0,4.0,75.0,0.10000000000000002,0.0023333333333333335,0.006222013363244863,0.9848101265822786,0.013987500036786912,0.012666666666666668,0.014653901941300932,0.0625,0.1375299010550452
12,0.25,fixed_007,11.0,225.0,4.0,75.0,0.07000000000000002,0.0023333333333333335,0.006222013363244863,0.9734177215189875,0.019652999687008618,0.025333333333333336,0.021586220426019508,0.05,0.13078709094514926
11,0.25,fixed_005,11.0,225.0,4.0,75.0,0.05000000000000001,0.0023333333333333335,0.006222013363244863,0.9525316455696204,0.032042809893853316,0.04933333333333333,0.034089665049071606,0.0125,0.055901699437494734
10,0.25,fixed_003,11.0,225.0,4.0,75.0,0.030000000000000006,0.0023333333333333335,0.006222013363244863,0.8930379746835444,0.046911007339091586,0.11266666666666666,0.04941292773050981,0.0,0.0
35,0.35,default_05,10.0,194.0,5.0,106.0,0.5,0.0035377358490566043,0.006286721579990368,0.9914414414414414,0.007991362237144299,0.0009433962264150943,0.002903712317222134,0.17,0.1625455401774498
34,0.35,fixed_030,10.0,194.0,5.0,106.0,0.29999999999999993,0.0035377358490566043,0.006286721579990368,0.9914414414414414,0.007437639166503573,0.0018867924528301887,0.0038716164229628453,0.15000000000000002,0.15727950313140984
33,0.35,fixed_020,10.0,194.0,5.0,106.0,0.20000000000000004,0.0035377358490566043,0.006286721579990368,0.990990990990991,0.006535822073063182,0.0028301886792452833,0.005389061986579995,0.14,0.13138933706635725
32,0.35,fixed_015,10.0,194.0,5.0,106.0,0.14999999999999997,0.0035377358490566043,0.006286721579990368,0.9905405405405405,0.007437639166503587,0.0051886792452830195,0.007161836363360831,0.1,0.13764944032233709
36,0.35,eer,10.0,194.0,5.0,106.0,0.3693552491318662,0.0035377358490566043,0.006286721579990368,0.9932432432432432,0.012007071846468086,0.007075471698113209,0.012573443159980735,0.0,0.0
31,0.35,fixed_010,10.0,194.0,5.0,106.0,0.10000000000000002,0.0035377358490566043,0.006286721579990368,0.9851351351351351,0.011791680877031797,0.012264150943396227,0.0126569885518856,0.07,0.11742858972247996
30,0.35,fixed_007,10.0,194.0,5.0,106.0,0.07000000000000002,0.0035377358490566043,0.006286721579990368,0.9684684684684683,0.022546217976232803,0.03160377358490566,0.024538803038177646,0.030000000000000006,0.07326950970650466
29,0.35,fixed_005,10.0,194.0,5.0,106.0,0.05000000000000001,0.0035377358490566043,0.006286721579990368,0.944144144144144,0.02827828993408632,0.05849056603773587,0.029612171534750764,0.0,0.0
28,0.35,fixed_003,10.0,194.0,5.0,106.0,0.030000000000000006,0.0035377358490566043,0.006286721579990368,0.8738738738738739,0.03921493243837902,0.1320754716981132,0.04106469340245349,0.0,0.0
26,0.3,default_05,10.0,210.0,5.0,90.0,0.5,0.012777777777777777,0.03928784497567929,0.9884210526315791,0.008970964486597777,0.0005555555555555556,0.0024845199749997664,0.21000000000000005,0.1651155894963793
25,0.3,fixed_030,10.0,210.0,5.0,90.0,0.29999999999999993,0.012777777777777777,0.03928784497567929,0.99,0.009337275877084376,0.0011111111111111111,0.0034199278402838474,0.17,0.17501879598308412
24,0.3,fixed_020,10.0,210.0,5.0,90.0,0.20000000000000004,0.012777777777777777,0.03928784497567929,0.9889473684210527,0.008690294184019952,0.002777777777777778,0.0061124400468908985,0.16000000000000003,0.1535543791899829
23,0.3,fixed_015,10.0,210.0,5.0,90.0,0.14999999999999997,0.012777777777777777,0.03928784497567929,0.9873684210526316,0.009415023063156995,0.005555555555555556,0.00845428789169647,0.14,0.16026294183720638
22,0.3,fixed_010,10.0,210.0,5.0,90.0,0.10000000000000002,0.012777777777777777,0.03928784497567929,0.9842105263157895,0.011581465352003793,0.013333333333333332,0.012796198265831907,0.06,0.11424811411549589
27,0.3,eer,10.0,210.0,5.0,90.0,0.34119300741958875,0.012777777777777777,0.03928784497567929,0.9847368421052632,0.035405303286398584,0.015555555555555553,0.03502528558455166,0.01,0.0447213595499958
21,0.3,fixed_007,10.0,210.0,5.0,90.0,0.07000000000000002,0.012777777777777777,0.03928784497567929,0.9742105263157896,0.017572460527889317,0.025,0.019032819368800986,0.04,0.08207826816681234
20,0.3,fixed_005,10.0,210.0,5.0,90.0,0.05000000000000001,0.012777777777777777,0.03928784497567929,0.9521052631578948,0.03063691874524352,0.049444444444444444,0.03313292581752131,0.02,0.06155870112510924
19,0.3,fixed_003,10.0,210.0,5.0,90.0,0.030000000000000006,0.012777777777777777,0.03928784497567929,0.89,0.0491923396556715,0.11555555555555555,0.05141278881563584,0.01,0.0447213595499958
44,0.4,default_05,9.0,180.0,6.0,120.0,0.5,0.040625,0.06359242651862182,0.9876984126984126,0.007496136836415362,0.002916666666666667,0.006772730840727075,0.2,0.14907119849998599
43,0.4,fixed_030,9.0,180.0,6.0,120.0,0.29999999999999993,0.040625,0.06359242651862182,0.9884920634920636,0.010129382734616393,0.004583333333333333,0.009549425138082199,0.14999999999999997,0.14204027103779837
42,0.4,fixed_020,9.0,180.0,6.0,120.0,0.20000000000000004,0.040625,0.06359242651862182,0.9869047619047621,0.011304851077075101,0.007083333333333333,0.01090730481125443,0.13333333333333333,0.1159753956564099
41,0.4,fixed_015,9.0,180.0,6.0,120.0,0.14999999999999997,0.040625,0.06359242651862182,0.986111111111111,0.012315390967256132,0.009583333333333333,0.012760444638351012,0.1,0.1134261745631201
40,0.4,fixed_010,9.0,180.0,6.0,120.0,0.10000000000000002,0.040625,0.06359242651862182,0.9742063492063492,0.016860471629635665,0.02291666666666667,0.018111698587680674,0.08333333333333334,0.11470786693528089
39,0.4,fixed_007,9.0,180.0,6.0,120.0,0.07000000000000002,0.040625,0.06359242651862182,0.9599206349206348,0.021151399048704115,0.03833333333333334,0.023632171549896608,0.075,0.1008008864715499
45,0.4,eer,9.0,180.0,6.0,120.0,0.285217330044886,0.040625,0.06359242651862182,0.9603174603174602,0.058150404528971945,0.03958333333333333,0.05785360380896086,0.041666666666666664,0.07404360971988655
38,0.4,fixed_005,9.0,180.0,6.0,120.0,0.05000000000000001,0.040625,0.06359242651862182,0.923015873015873,0.03820125876349652,0.07791666666666666,0.04190938079750652,0.05833333333333333,0.09785715810206663
37,0.4,fixed_003,9.0,180.0,6.0,120.0,0.030000000000000006,0.040625,0.06359242651862182,0.8488095238095237,0.053113470014493944,0.15833333333333333,0.055277079839256664,0.008333333333333333,0.037267799624996496
