user_id,train_size,threshold,accuracy,far,frr,eer
LaWWukYn6xeN1jsWRIBI8QB2PvV2,5,0.085,0.975,0.025806451612903226,0.0,0.012903225806451613
Omo5XrILUTX0J0Jih47KSik6Yi43,5,0.16,0.984375,0.016129032258064516,0.0,0.008064516129032258
PoPWokLWSNV1fAVoEx4sJEERdqL2,5,0.11,0.95,0.05161290322580645,0.0,0.025806451612903226
PzRGdxGusYScYl0zOpFXECA49Tq1,5,0.095,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
QcUKYLclszMKbeOKMPTEIZyiKKU2,5,0.035,0.878125,0.12580645161290321,0.0,0.06290322580645161
RKcUBPWd7Lgr4wrIof2rJxDyitr1,5,0.115,0.975,0.025806451612903226,0.0,0.012903225806451613
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,5,0.185,0.9875,0.0064516129032258064,0.2,0.1032258064516129
WLA5tSeimOdSy4qCfthdd7C5WeB2,5,0.085,0.978125,0.02258064516129032,0.0,0.01129032258064516
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,5,0.11,0.959375,0.03870967741935484,0.1,0.06935483870967743
ZPw87WT2yagXd9QO1D3a7uqutlJ3,5,0.135,0.990625,0.0032258064516129032,0.2,0.10161290322580646
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,5,0.08,0.978125,0.02258064516129032,0.0,0.01129032258064516
i6SCvQJiqYUDYS1leBqlxRY29jr2,5,0.04,0.865625,0.13870967741935483,0.0,0.06935483870967742
my57RUXuMdcCABGumWAajjhxjgi2,5,0.11,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
pBcgsSbey6YdBbQGH0nEAMUjA9H2,5,0.05,0.903125,0.1,0.0,0.05
qHMPVSZeEOVJeANy4PmaCi0s1LX2,5,0.085,0.953125,0.04838709677419355,0.0,0.024193548387096774
ruaVJyjTBAXieStKhxpnd1GTACE2,5,0.375,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,5,0.09,0.990625,0.00967741935483871,0.0,0.004838709677419355
wL7w4dmBmxSYXUEO9tYBUp6XaA22,5,0.32,0.98125,0.0,0.6,0.3
zADTuV7nEORpOPqPqjLYGgZyVUD3,5,0.225,0.990625,0.0064516129032258064,0.1,0.05322580645161291
zisvLwXR2sXkiDyF9hQBgzCT5K03,5,0.155,0.978125,0.02258064516129032,0.0,0.01129032258064516
zwWo0D9MehY88RXRA0BYoGdJKCz2,5,0.20500000000000002,0.984375,0.012903225806451613,0.1,0.05645161290322581
05TW8Ljp5AOArnLclD8e8LIHgwg2,8,0.04,0.9107142857142857,0.08755760368663594,0.14285714285714285,0.1152073732718894
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,8,0.07,0.9151785714285714,0.08294930875576037,0.14285714285714285,0.11290322580645161
30m2mK6UrdfP8ENgCSldqeHYwjq2,8,0.1,0.9375,0.06451612903225806,0.0,0.03225806451612903
8g1C9fonDzXAwNoVbGG4vJ7XO1F3,8,0.19,1.0,0.0,0.0,0.0
8gGAdMn0cGO8J5wVY9lyHNfcrzF3,8,0.215,1.0,0.0,0.0,0.0
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,8,0.14,0.9955357142857143,0.0,0.14285714285714285,0.07142857142857142
A2SsgxEqJLY9Avf3vCgly0OIQux1,8,0.04,0.8214285714285714,0.18433179723502305,0.0,0.09216589861751152
BnAXORhlmEgFSnmr5BPzEaj813f2,8,0.125,1.0,0.0,0.0,0.0
BqbYZxLSPiNGAJGElBH6dq0Gf422,8,0.085,0.9910714285714286,0.009216589861751152,0.0,0.004608294930875576
