text_length,avg_accuracy,std_accuracy,avg_far,std_far,avg_frr,std_frr,avg_eer,std_eer,n_users
10,0.9724852071005917,0.03509399563762129,0.027692307692307697,0.0369894787535799,0.02307692307692308,0.06516251872168423,0.015076923076923078,0.041016019384550795,26
20,0.9792899408284025,0.03283591847509168,0.020307692307692308,0.03388305680515763,0.03076923076923077,0.07358929688062399,0.01,0.03654257790577999,26
50,0.9825443786982249,0.027568757920712554,0.01784615384615385,0.02882733745276148,0.007692307692307693,0.03922322702763681,0.0006153846153846154,0.0014717859376124798,26
75,0.987869822485207,0.016594442204000186,0.012000000000000002,0.017417232845661792,0.015384615384615385,0.07844645405527362,0.0006153846153846154,0.0021739719055576235,26
full,0.9940828402366864,0.014805674956718015,0.005538461538461539,0.015474445435570914,0.015384615384615385,0.0543492976389406,0.0006153846153846154,0.0031378581622109446,26
