n_estimators,max_depth,learning_rate,scale_pos_weight_mode,undersampling,threshold,accuracy_mean,FAR_mean,FRR_mean,accuracy_std,FAR_std,FRR_std
100,3,0.1,none,False,0.15,0.9920634920634921,0.0008333333333333333,0.15,0.011771743630310584,0.0036324157862838947,0.22298480267099416
100,6,0.1,none,False,0.15,0.9920634920634921,0.0008333333333333333,0.15,0.011771743630310584,0.0036324157862838947,0.22298480267099416
100,10,0.1,none,False,0.15,0.9920634920634921,0.0008333333333333333,0.15,0.011771743630310584,0.0036324157862838947,0.22298480267099416
300,3,0.1,none,False,0.15,0.9920634920634921,0.0008333333333333333,0.15,0.011771743630310584,0.0036324157862838947,0.22298480267099416
300,6,0.1,none,False,0.15,0.9920634920634921,0.0008333333333333333,0.15,0.011771743630310584,0.0036324157862838947,0.22298480267099416
300,10,0.1,none,False,0.15,0.9920634920634921,0.0008333333333333333,0.15,0.011771743630310584,0.0036324157862838947,0.22298480267099416
600,3,0.1,none,False,0.15,0.9920634920634921,0.0008333333333333333,0.15,0.011771743630310584,0.0036324157862838947,0.22298480267099416
600,6,0.1,none,False,0.15,0.9920634920634921,0.0008333333333333333,0.15,0.011771743630310584,0.0036324157862838947,0.22298480267099416
600,10,0.1,none,False,0.15,0.9920634920634921,0.0008333333333333333,0.15,0.011771743630310584,0.0036324157862838947,0.22298480267099416
300,3,0.05,none,False,0.2,0.9896825396825397,0.0008333333333333333,0.2,0.011528443687566635,0.0036324157862838947,0.22110831935702666
300,6,0.05,none,False,0.2,0.9896825396825397,0.0008333333333333333,0.2,0.011528443687566635,0.0036324157862838947,0.22110831935702666
300,10,0.05,none,False,0.2,0.9896825396825397,0.0008333333333333333,0.2,0.011528443687566635,0.0036324157862838947,0.22110831935702666
600,3,0.05,none,False,0.2,0.9896825396825397,0.0008333333333333333,0.2,0.011528443687566635,0.0036324157862838947,0.22110831935702666
600,6,0.05,none,False,0.2,0.9896825396825397,0.0008333333333333333,0.2,0.011528443687566635,0.0036324157862838947,0.22110831935702666
600,10,0.05,none,False,0.2,0.9896825396825397,0.0008333333333333333,0.2,0.011528443687566635,0.0036324157862838947,0.22110831935702666
100,3,0.05,none,False,0.15,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.012573793268059418,0.004999999999999999,0.2229848026709942
100,6,0.05,none,False,0.15,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.012573793268059418,0.004999999999999999,0.2229848026709942
100,10,0.05,none,False,0.15,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.012573793268059418,0.004999999999999999,0.2229848026709942
300,3,0.05,none,False,0.15,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.012573793268059418,0.004999999999999999,0.2229848026709942
300,6,0.05,none,False,0.15,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.012573793268059418,0.004999999999999999,0.2229848026709942
300,10,0.05,none,False,0.15,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.012573793268059418,0.004999999999999999,0.2229848026709942
600,3,0.01,none,False,0.15,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.012573793268059418,0.004999999999999999,0.2229848026709942
600,3,0.05,none,False,0.15,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.012573793268059418,0.004999999999999999,0.2229848026709942
600,6,0.01,none,False,0.15,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.012573793268059418,0.004999999999999999,0.2229848026709942
600,6,0.05,none,False,0.15,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.012573793268059418,0.004999999999999999,0.2229848026709942
600,10,0.01,none,False,0.15,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.012573793268059418,0.004999999999999999,0.2229848026709942
600,10,0.05,none,False,0.15,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.012573793268059418,0.004999999999999999,0.2229848026709942
600,3,0.01,none,False,0.2,0.9888888888888889,0.0008333333333333333,0.21666666666666665,0.012397221707788347,0.0036324157862838947,0.24209731743889912
600,6,0.01,none,False,0.2,0.9888888888888889,0.0008333333333333333,0.21666666666666665,0.012397221707788347,0.0036324157862838947,0.24209731743889912
600,10,0.01,none,False,0.2,0.9888888888888889,0.0008333333333333333,0.21666666666666665,0.012397221707788347,0.0036324157862838947,0.24209731743889912
100,3,0.05,none,False,0.2,0.9880952380952381,0.0008333333333333333,0.2333333333333333,0.013161209485537305,0.0036324157862838947,0.2603416558635552
100,3,0.1,none,False,0.2,0.9880952380952381,0.0008333333333333333,0.2333333333333333,0.012166436283139603,0.0036324157862838947,0.23804761428476168
100,6,0.05,none,False,0.2,0.9880952380952381,0.0008333333333333333,0.2333333333333333,0.013161209485537305,0.0036324157862838947,0.2603416558635552
100,6,0.1,none,False,0.2,0.9880952380952381,0.0008333333333333333,0.2333333333333333,0.012166436283139603,0.0036324157862838947,0.23804761428476168
100,10,0.05,none,False,0.2,0.9880952380952381,0.0008333333333333333,0.2333333333333333,0.013161209485537305,0.0036324157862838947,0.2603416558635552
100,10,0.1,none,False,0.2,0.9880952380952381,0.0008333333333333333,0.2333333333333333,0.012166436283139603,0.0036324157862838947,0.23804761428476168
300,3,0.01,none,False,0.2,0.9880952380952381,0.0008333333333333333,0.2333333333333333,0.013161209485537305,0.0036324157862838947,0.2603416558635552
300,3,0.1,none,False,0.2,0.9880952380952381,0.0008333333333333333,0.2333333333333333,0.012166436283139603,0.0036324157862838947,0.23804761428476168
300,6,0.01,none,False,0.2,0.9880952380952381,0.0008333333333333333,0.2333333333333333,0.013161209485537305,0.0036324157862838947,0.2603416558635552
300,6,0.1,none,False,0.2,0.9880952380952381,0.0008333333333333333,0.2333333333333333,0.012166436283139603,0.0036324157862838947,0.23804761428476168
300,10,0.01,none,False,0.2,0.9880952380952381,0.0008333333333333333,0.2333333333333333,0.013161209485537305,0.0036324157862838947,0.2603416558635552
300,10,0.1,none,False,0.2,0.9880952380952381,0.0008333333333333333,0.2333333333333333,0.012166436283139603,0.0036324157862838947,0.23804761428476168
600,3,0.1,none,False,0.2,0.9880952380952381,0.0008333333333333333,0.2333333333333333,0.012166436283139603,0.0036324157862838947,0.23804761428476168
600,6,0.1,none,False,0.2,0.9880952380952381,0.0008333333333333333,0.2333333333333333,0.012166436283139603,0.0036324157862838947,0.23804761428476168
600,10,0.1,none,False,0.2,0.9880952380952381,0.0008333333333333333,0.2333333333333333,0.012166436283139603,0.0036324157862838947,0.23804761428476168
100,3,0.1,none,False,0.3,0.9873015873015873,0.0,0.26666666666666666,0.012895299054977718,0.0,0.27080128015453203
100,6,0.1,none,False,0.3,0.9873015873015873,0.0,0.26666666666666666,0.012895299054977718,0.0,0.27080128015453203
100,10,0.1,none,False,0.3,0.9873015873015873,0.0,0.26666666666666666,0.012895299054977718,0.0,0.27080128015453203
300,3,0.05,none,False,0.3,0.9873015873015873,0.0,0.26666666666666666,0.012895299054977718,0.0,0.27080128015453203
300,3,0.1,none,False,0.3,0.9873015873015873,0.0,0.26666666666666666,0.012895299054977718,0.0,0.27080128015453203
300,6,0.05,none,False,0.3,0.9873015873015873,0.0,0.26666666666666666,0.012895299054977718,0.0,0.27080128015453203
300,6,0.1,none,False,0.3,0.9873015873015873,0.0,0.26666666666666666,0.012895299054977718,0.0,0.27080128015453203
300,10,0.05,none,False,0.3,0.9873015873015873,0.0,0.26666666666666666,0.012895299054977718,0.0,0.27080128015453203
300,10,0.1,none,False,0.3,0.9873015873015873,0.0,0.26666666666666666,0.012895299054977718,0.0,0.27080128015453203
600,3,0.01,none,False,0.3,0.9873015873015873,0.0,0.26666666666666666,0.012895299054977718,0.0,0.27080128015453203
600,3,0.05,none,False,0.3,0.9873015873015873,0.0,0.26666666666666666,0.012895299054977718,0.0,0.27080128015453203
600,3,0.1,none,False,0.3,0.9873015873015873,0.0,0.26666666666666666,0.012895299054977718,0.0,0.27080128015453203
600,6,0.01,none,False,0.3,0.9873015873015873,0.0,0.26666666666666666,0.012895299054977718,0.0,0.27080128015453203
600,6,0.05,none,False,0.3,0.9873015873015873,0.0,0.26666666666666666,0.012895299054977718,0.0,0.27080128015453203
600,6,0.1,none,False,0.3,0.9873015873015873,0.0,0.26666666666666666,0.012895299054977718,0.0,0.27080128015453203
600,10,0.01,none,False,0.3,0.9873015873015873,0.0,0.26666666666666666,0.012895299054977718,0.0,0.27080128015453203
600,10,0.05,none,False,0.3,0.9873015873015873,0.0,0.26666666666666666,0.012895299054977718,0.0,0.27080128015453203
600,10,0.1,none,False,0.3,0.9873015873015873,0.0,0.26666666666666666,0.012895299054977718,0.0,0.27080128015453203
100,3,0.05,none,False,0.1,0.9873015873015873,0.005,0.16666666666666666,0.014720029357929695,0.009279607271383371,0.22360679774997896
100,6,0.05,none,False,0.1,0.9873015873015873,0.005,0.16666666666666666,0.014720029357929695,0.009279607271383371,0.22360679774997896
