scenario_id,test_size,threshold_mode,mean_train_pos,mean_train_neg,mean_test_pos,mean_test_neg,mean_threshold,mean_eer_value,std_eer_value,mean_accuracy,std_accuracy,mean_far,std_far,mean_frr,std_frr
7,0.2,fixed_030,12.0,240.0,3.0,60.0,0.29999999999999993,0.023333333333333334,0.05858966238178623,0.9920634920634921,0.012077554130994962,0.0,0.0,0.16666666666666666,0.25362863675089403
8,0.2,default_05,12.0,240.0,3.0,60.0,0.5,0.023333333333333334,0.05858966238178623,0.9888888888888889,0.012719281098190987,0.0,0.0,0.2333333333333333,0.2671049030620107
6,0.2,fixed_020,12.0,240.0,3.0,60.0,0.20000000000000004,0.023333333333333334,0.05858966238178623,0.9928571428571429,0.010894170494496197,0.0016666666666666666,0.00512989176042577,0.11666666666666665,0.19571431620413327
5,0.2,fixed_015,12.0,240.0,3.0,60.0,0.14999999999999997,0.023333333333333334,0.05858966238178623,0.9873015873015873,0.01595633936349318,0.008333333333333335,0.013786169864475187,0.1,0.15672078199387576
4,0.2,fixed_010,12.0,240.0,3.0,60.0,0.10000000000000002,0.023333333333333334,0.05858966238178623,0.976190476190476,0.022150498886487645,0.019999999999999997,0.02203134396624646,0.1,0.15672078199387576
9,0.2,eer,12.0,240.0,3.0,60.0,0.44525000000000003,0.023333333333333334,0.05858966238178623,0.9706349206349205,0.05283969145002879,0.030000000000000006,0.05287080136925201,0.016666666666666666,0.07453559924999299
3,0.2,fixed_007,12.0,240.0,3.0,60.0,0.07000000000000002,0.023333333333333334,0.05858966238178623,0.9452380952380952,0.027959188029161884,0.052500000000000005,0.027717771443627456,0.1,0.15672078199387576
2,0.2,fixed_005,12.0,240.0,3.0,60.0,0.05000000000000001,0.023333333333333334,0.05858966238178623,0.9063492063492063,0.038846668640336916,0.09499999999999999,0.04121687044593178,0.06666666666666667,0.13679711361135385
1,0.2,fixed_003,12.0,240.0,3.0,60.0,0.030000000000000006,0.023333333333333334,0.05858966238178623,0.8476190476190478,0.04320997126214098,0.15916666666666668,0.04539463090080018,0.016666666666666666,0.07453559924999299
16,0.25,fixed_030,11.0,225.0,4.0,75.0,0.29999999999999993,0.031166666666666665,0.07718758952453553,0.9898734177215192,0.012724675694937593,0.0,0.0,0.2,0.2513123449750173
17,0.25,default_05,11.0,225.0,4.0,75.0,0.5,0.031166666666666665,0.07718758952453553,0.9854430379746837,0.01316442884168682,0.0,0.0,0.2875,0.25999746962331444
15,0.25,fixed_020,11.0,225.0,4.0,75.0,0.20000000000000004,0.031166666666666665,0.07718758952453553,0.9917721518987342,0.011813949423882652,0.002,0.004884633980433643,0.125,0.22213082915965965
14,0.25,fixed_015,11.0,225.0,4.0,75.0,0.14999999999999997,0.031166666666666665,0.07718758952453553,0.987974683544304,0.011228369725607812,0.008,0.009074093965049608,0.0875,0.14678573715309995
13,0.25,fixed_010,11.0,225.0,4.0,75.0,0.10000000000000002,0.031166666666666665,0.07718758952453553,0.9727848101265826,0.015516692888737357,0.024,0.015953147776429838,0.0875,0.14678573715309995
18,0.25,eer,11.0,225.0,4.0,75.0,0.3235,0.031166666666666665,0.07718758952453553,0.9632911392405064,0.08036256485141346,0.037333333333333336,0.08088400473654986,0.025,0.07694837640638656
12,0.25,fixed_007,11.0,225.0,4.0,75.0,0.07000000000000002,0.031166666666666665,0.07718758952453553,0.9455696202531648,0.03313611588229194,0.053333333333333344,0.03670651741928988,0.075,0.14281014264436984
11,0.25,fixed_005,11.0,225.0,4.0,75.0,0.05000000000000001,0.031166666666666665,0.07718758952453553,0.9094936708860761,0.03053342211131672,0.09133333333333334,0.03521695498092723,0.075,0.14281014264436984
10,0.25,fixed_003,11.0,225.0,4.0,75.0,0.030000000000000006,0.031166666666666665,0.07718758952453553,0.8487341772151901,0.04217798937652288,0.15733333333333333,0.04651101862786032,0.0375,0.12234012123239822
34,0.35,fixed_030,10.0,194.0,5.0,106.0,0.29999999999999993,0.05400943396226414,0.0958116902627563,0.9909909909909909,0.009243048216983372,0.0,0.0,0.20000000000000004,0.20519567041703082
35,0.35,default_05,10.0,194.0,5.0,106.0,0.5,0.05400943396226414,0.0958116902627563,0.9869369369369367,0.007991362237144297,0.0,0.0,0.2900000000000001,0.1774082416646034
33,0.35,fixed_020,10.0,194.0,5.0,106.0,0.20000000000000004,0.05400943396226414,0.0958116902627563,0.9891891891891891,0.009516300581737004,0.004716981132075472,0.006492898128412125,0.14,0.1729009451741235
32,0.35,fixed_015,10.0,194.0,5.0,106.0,0.14999999999999997,0.05400943396226414,0.0958116902627563,0.981081081081081,0.012366355696455111,0.014150943396226417,0.010379615173965675,0.12000000000000002,0.16415653633362468
31,0.35,fixed_010,10.0,194.0,5.0,106.0,0.10000000000000002,0.05400943396226414,0.0958116902627563,0.9567567567567566,0.019520127405398727,0.040094339622641514,0.02095573859996789,0.11000000000000001,0.13726654823065196
36,0.35,eer,10.0,194.0,5.0,106.0,0.21183333333333332,0.05400943396226414,0.0958116902627563,0.9423423423423423,0.08906001920785195,0.0580188679245283,0.08877717553236895,0.05,0.1100239208440362
30,0.35,fixed_007,10.0,194.0,5.0,106.0,0.07000000000000002,0.05400943396226414,0.0958116902627563,0.9261261261261262,0.027512628217338814,0.07216981132075473,0.031255210728938734,0.11000000000000001,0.13726654823065196
29,0.35,fixed_005,10.0,194.0,5.0,106.0,0.05000000000000001,0.05400943396226414,0.0958116902627563,0.8950450450450449,0.03323322529885531,0.10613207547169812,0.03696772855614493,0.08,0.1361114094757441
28,0.35,fixed_003,10.0,194.0,5.0,106.0,0.030000000000000006,0.05400943396226414,0.0958116902627563,0.8378378378378379,0.03543838205984789,0.1679245283018868,0.03854640885536324,0.04,0.1231174022502185
25,0.3,fixed_030,10.0,210.0,5.0,90.0,0.29999999999999993,0.08027777777777775,0.11489853421342006,0.9884210526315791,0.011781160503942416,0.0,0.0,0.22000000000000006,0.22384204957490614
