text_length,avg_accuracy,std_accuracy,avg_far,std_far,avg_frr,std_frr,avg_eer,std_eer,n_users
10,0.94609375,0.04657498073692744,0.0530241935483871,0.04926322661266541,0.08125,0.1512048386322556,0.06713709677419355,0.07241193248466911,32
20,0.9556640625,0.03710678842853204,0.04435483870967742,0.03921796022080147,0.04375,0.09816871586301588,0.04405241935483871,0.046549277136241504,32
25,0.9572265625,0.03856385359285884,0.04233870967741936,0.03953125705881014,0.05625,0.13663584756098845,0.04929435483870967,0.0712567870939918,32
50,0.9705078125,0.03518508002478901,0.028225806451612902,0.03585558777630526,0.06875,0.14013242584852925,0.048487903225806456,0.0730214817917394,32
75,0.979296875,0.030636621396043593,0.02036290322580645,0.030749725764429622,0.03125,0.0737804065256947,0.025806451612903222,0.044457123572341106,32
full,0.983203125,0.022753804848434596,0.01653225806451613,0.023687032161046177,0.025,0.06720215050322471,0.020766129032258066,0.034059359138859574,32
